ISO3,SUBMISSION_DATE,NDC_INDC,TYPE_RECLASS,TYPE_MAIN,COVERAGE_SECTORS_NDCS,COVERAGE_SECTORS_CALC,ECONOMY_WIDE,COVERAGE_GASES_NDCS,COVERAGE_GASES_CALC,EMI_POP_GDP,BASEYEAR,INTENSITY_PERCAP_GDP,TARGETS,DECLINE_AFTER_YEAR,ENERGY_NDCS,IPPU_NDCS,AGRICULTURE_NDCS,LULUCF_NDCS,WASTE_NDCS,OTHER_NDCS,ENERGY_CALC,IPPU_CALC,AGRICULTURE_CALC,LULUCF_CALC,WASTE_CALC,OTHER_CALC,CO2_NDCS,CH4_NDCS,N2O_NDCS,HFCS_NDCS,PFCS_NDCS,SF6_NDCS,NF3_NDCS,CO2_CALC,CH4_CALC,N2O_CALC,HFCS_CALC,PFCS_CALC,SF6_CALC,NF3_CALC,ABS,RBY,RBU,ABU,REI,AEI
COL,20180712,NDC,ABS,RBU,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NAN"": [""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NO"": [""NF3""]}","{""EMI"": {""inclLU"": {""2010"": ""224 MtCO2eq_SAR"", ""2020"": ""278 MtCO2eq_SAR"", ""2030"": ""335 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""268 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""234.500 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-20%""}}, ""conditional"": {""best"": {""2030"": ""-30%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-67.000 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""-100.500 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""4.6 tCO2eq_SAR/cap""}}}}}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,NO,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""268 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""234.500 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-20%""}}, ""conditional"": {""best"": {""2030"": ""-30%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-67.000 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""-100.500 MtCO2eq_SAR""}}}}}",,"{""AEI"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""4.6 tCO2eq_SAR/cap""}}}}}"
COM,20161123,NDC,ABS,RBU,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2000"": ""-0.043100 MtCO2eq"", ""2005"": ""0.025500 MtCO2eq"", ""2010"": ""0.141600 MtCO2eq"", ""2020"": ""0.357800 MtCO2eq"", ""2025"": ""0.434500 MtCO2eq"", ""2030"": ""0.523100 MtCO2eq""}, ""exclLU"": {""2000"": ""0.185900 MtCO2eq"", ""2005"": ""0.112500 MtCO2eq"", ""2010"": ""0.254500 MtCO2eq"", ""2015"": ""0.301800 MtCO2eq"", ""2020"": ""0.349400 MtCO2eq"", ""2025"": ""0.407100 MtCO2eq"", ""2030"": ""0.469300 MtCO2eq""}, ""onlyLU"": {""2000"": ""-0.229100 MtCO2eq"", ""2005"": ""-0.180000 MtCO2eq"", ""2010"": ""-0.112900 MtCO2eq"", ""2015"": ""-0.072400 MtCO2eq"", ""2020"": ""0.008400 MtCO2eq"", ""2025"": ""0.027400 MtCO2eq"", ""2030"": ""0.048700 MtCO2eq""}}}",,nan,"{""ABS"": {""inclLU"": {""conditional"": {""best"": {""2025"": ""0.133 MtCO2eq"", ""2030"": ""0.0813 MtCO2eq""}}}, ""exclLU"": {""conditional"": {""best"": {""2025"": ""0.105600 MtCO2eq"", ""2030"": ""0.032600 MtCO2eq""}}}}, ""RBY"": NaN, ""RBU"": {""inclLU"": {""conditional"": {""best"": {""2025"": ""-69%"", ""2030"": ""-84%""}}}, ""exclLU"": {""conditional"": {""best"": {""2025"": ""-74.1%"", ""2030"": ""-93.1%""}}}}, ""ABU"": {""inclLU"": {""conditional"": {""best"": {""2025"": ""-0.301500 MtCO2eq"", ""2030"": ""-0.441700 MtCO2eq""}}}, ""exclLU"": {""conditional"": {""best"": {""2025"": ""-0.301500 MtCO2eq"", ""2030"": ""-0.436700 MtCO2eq""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"{""ABS"": {""inclLU"": {""conditional"": {""best"": {""2025"": ""0.133 MtCO2eq"", ""2030"": ""0.0813 MtCO2eq""}}}, ""exclLU"": {""conditional"": {""best"": {""2025"": ""0.105600 MtCO2eq"", ""2030"": ""0.032600 MtCO2eq""}}}}}",,"{""RBU"": {""inclLU"": {""conditional"": {""best"": {""2025"": ""-69%"", ""2030"": ""-84%""}}}, ""exclLU"": {""conditional"": {""best"": {""2025"": ""-74.1%"", ""2030"": ""-93.1%""}}}}}","{""ABU"": {""inclLU"": {""conditional"": {""best"": {""2025"": ""-0.301500 MtCO2eq"", ""2030"": ""-0.441700 MtCO2eq""}}}, ""exclLU"": {""conditional"": {""best"": {""2025"": ""-0.301500 MtCO2eq"", ""2030"": ""-0.436700 MtCO2eq""}}}}}",,
CPV,20170921,NDC,ABU,NGT,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Other""]}","{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NO"": [""IPPU"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-0.0007 MtCO2eq_AR4""}, ""worst"": {""2030"": ""-0.0006 MtCO2eq_AR4""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,YES,NAN,YES,NO,YES,YES,YES,NO,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,,"{""ABU"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-0.0007 MtCO2eq_AR4""}, ""worst"": {""2030"": ""-0.0006 MtCO2eq_AR4""}}}}}",,
CRI,20161013,NDC,ABS,ABS,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NAN"": [""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NO"": [""NF3""]}","{""EMI"": {""inclLU"": {""2012"": ""12.441260 MtCO2eq"", ""2030"": ""16.739 MtCO2eq""}}}",2012,nan,"{""ABS"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""9.374000 MtCO2eq"", ""2050"": ""5.964988 MtCO2eq""}}}}, ""RBY"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-25%""}}}}, ""RBU"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-44%""}}}}, ""ABU"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-7.365 MtCO2eq""}}}}, ""REI"": NaN, ""AEI"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""1.73 tCO2eq/cap""}, ""best"": {""2050"": ""1.19 tCO2eq/cap""}}}}}",nan,YES,NAN,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,NO,"{""ABS"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""9.374000 MtCO2eq"", ""2050"": ""5.964988 MtCO2eq""}}}}}","{""RBY"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-25%""}}}}}","{""RBU"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-44%""}}}}}","{""ABU"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-7.365 MtCO2eq""}}}}}",,"{""AEI"": {""inclLU"": {""conditional"": {""best"": {""2050"": ""1.19 tCO2eq/cap""}}}}}"
CUB,20161230,NDC,ABU,NGT,"{""YES"": [""Energy"", ""Agriculture""], ""NAN"": [""IPPU"", ""LULUCF"", ""Waste"", ""Other""]}","{""YES"": [""Energy"", ""Agriculture""], ""NO"": [""IPPU"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""1990"": ""48 MtCO2eq"", ""2010"": ""40 MtCO2eq""}}}",,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""-6 MtCO2eq""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,NAN,NAN,NAN,YES,NO,YES,NO,NO,NO,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,,"{""ABU"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""-6 MtCO2eq""}}}}}",,
CUW,,,,,,,,,,,,,,,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,,,
CYP,20161005,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}}",,,,
CZE,20161005,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}}",,,,
DEU,20161005,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}}",,,,
DJI,20161111,NDC,ABS,RBU,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""Waste""], ""NO"": [""LULUCF""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""Waste"", ""Other""], ""NO"": [""LULUCF""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2000"": ""1.400 MtCO2eq"", ""2010"": ""1.974 MtCO2eq"", ""2020"": ""2.905 MtCO2eq"", ""2030"": ""4.475 MtCO2eq""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""2.685 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""1.790 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}, ""conditional"": {""best"": {""2030"": ""-60%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-1.790 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""-2.685 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,NO,YES,NAN,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""2.685 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""1.790 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}, ""conditional"": {""best"": {""2030"": ""-60%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-1.790 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""-2.685 MtCO2eq_SAR""}}}}}",,
DMA,20160921,NDC,ABS,RBY,"{""YES"": [""Energy"", ""Waste""], ""NAN"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Waste""], ""NO"": [""Agriculture"", ""LULUCF"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS""], ""NAN"": [""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS""], ""NO"": [""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2014"": ""0.1645 MtCO2eq_SAR""}}}",2014,nan,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""0.100 MtCO2eq_SAR"", ""2030"": ""0.091 MtCO2eq_SAR""}}}}, ""RBY"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""-39.2%"", ""2030"": ""-44.7%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,NAN,YES,NAN,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,NAN,NAN,NAN,YES,YES,YES,YES,NO,NO,NO,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""0.100 MtCO2eq_SAR"", ""2030"": ""0.091 MtCO2eq_SAR""}}}}}","{""RBY"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""-39.2%"", ""2030"": ""-44.7%""}}}}}",,,,
DNK,20161005,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}}",,,,
DOM,20170921,NDC,AEI,REI,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,2010,POP,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-25%""}}}}, ""AEI"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""2.7 tCO2eq_SAR/capita""}}}}}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,,,"{""REI"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-25%""}}}}}","{""AEI"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""2.7 tCO2eq_SAR/capita""}}}}}"
DZA,20161020,NDC,RBU,RBU,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-7%""}}, ""conditional"": {""best"": {""2030"": ""-22%""}}}}, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-7%""}}, ""conditional"": {""best"": {""2030"": ""-22%""}}}}}",,,
ECU,20190329,NDC,ABS,RBU,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2012"": ""80.62716 MtCO2eq_SAR""}, ""exclLU"": {""2010"": ""56.038 MtCO2eq_SAR"", ""2020"": ""71.641 MtCO2eq_SAR"", ""2025"": ""76.904 MtCO2eq_SAR""}, ""onlyLU"": {""2008"": ""43.75 MtCO2eq_SAR"", ""2025"": ""43.75 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""67.774 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""60.824 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""109.774 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""95.824 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-9%""}}, ""conditional"": {""best"": {""2025"": ""-20.9%""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-10%""}}, ""conditional"": {""best"": {""2025"": ""-26%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-9.130 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-16.080 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-10.880 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-24.830 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""67.774 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""60.824 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""109.774 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""95.824 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-9%""}}, ""conditional"": {""best"": {""2025"": ""-20.9%""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-10%""}}, ""conditional"": {""best"": {""2025"": ""-26%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-9.130 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-16.080 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-10.880 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-24.830 MtCO2eq_SAR""}}}}}",,
EGY,20170629,NDC,NGT,NGT,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""NAN"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,NAN,NAN,NAN,NAN,,,,,,
ERI,20180619,NDC,ABS,RBU,"{""YES"": [""Energy"", ""IPPU"", ""LULUCF"", ""Waste""], ""NAN"": [""Agriculture"", ""Other""]}","{""YES"": [""Energy""], ""NO"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2010"": ""4.429 MtCO2eq_AR4"", ""2020"": ""7.401 MtCO2eq_AR4"", ""2025"": ""9.379 MtCO2eq_AR4"", ""2030"": ""11.466 MtCO2eq_AR4""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""9.003 MtCO2eq_AR4"", ""2030"": ""10.484 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""7.861 MtCO2eq_AR4"", ""2030"": ""8.314 MtCO2eq_AR4""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-6.2%"", ""2030"": ""-12%""}}, ""conditional"": {""best"": {""2025"": ""-24.9%"", ""2030"": ""-38.5%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-0.387 MtCO2eq_AR4"", ""2030"": ""-0.982 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""-1.518 MtCO2eq_AR4"", ""2030"": ""-3.152 MtCO2eq_AR4""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,NAN,YES,YES,NAN,YES,NO,NO,NO,NO,NAN,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""9.003 MtCO2eq_AR4"", ""2030"": ""10.484 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""7.861 MtCO2eq_AR4"", ""2030"": ""8.314 MtCO2eq_AR4""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-6.2%"", ""2030"": ""-12%""}}, ""conditional"": {""best"": {""2025"": ""-24.9%"", ""2030"": ""-38.5%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-0.387 MtCO2eq_AR4"", ""2030"": ""-0.982 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""-1.518 MtCO2eq_AR4"", ""2030"": ""-3.152 MtCO2eq_AR4""}}}}}",,
