code,CH4AR4_IPCMAG_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,CH4
category,IPCMAG
name_category,Agriculture
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
MLI,NaN,NaN,NaN,NaN,NaN,8.3581,NaN,NaN,NaN,NaN,9.4065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.6653,NaN,NaN,NaN,NaN,NaN,NaN
MNE,0.5045,0.50275,0.472,0.45325,0.462,0.477,0.47575,0.46275,0.458,0.45975,0.45025,0.4415,0.4515,0.4425,0.42925,0.3065,0.29825,0.27925,0.27275,0.22,0.22875,0.23175,NaN,NaN,NaN,NaN,NaN
MNG,6.0875,5.97,5.9075,5.73,6.1725,6.68,6.91,7.255,7.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MUS,NaN,NaN,NaN,NaN,NaN,0.017075,NaN,NaN,NaN,NaN,0.099735,0.10252,0.09028,0.088615,0.084093,0.087785,0.021,NaN,NaN,NaN,NaN,NaN,NaN,0.026,NaN,NaN,NaN
MYS,3.9225,3.966,3.9957,4.0462,4.0679,4.0691,4.0468,4.0224,3.9607,3.892,3.8458,3.8492,3.8575,3.8899,3.9118,3.9418,4.0037,4.004,4.028,4.0233,4.018,3.9816,NaN,NaN,NaN,NaN,NaN
NER,3.7492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NRU,NaN,NaN,NaN,NaN,0.00585,NaN,NaN,NaN,NaN,NaN,0.0014758,NaN,NaN,0.0014758,NaN,NaN,NaN,0.00029615,NaN,NaN,0.00068845,NaN,NaN,NaN,NaN,NaN,NaN
PER,NaN,NaN,NaN,NaN,11.7865,NaN,NaN,NaN,NaN,NaN,14.4643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.3219,NaN,15.1202,NaN,NaN,NaN,NaN
PRK,3.875,NaN,NaN,NaN,3.6,NaN,NaN,NaN,NaN,NaN,3.25,NaN,3.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PRY,NaN,NaN,NaN,NaN,14.6143,NaN,NaN,NaN,NaN,NaN,12.9982,NaN,NaN,NaN,NaN,14.662,NaN,NaN,NaN,NaN,NaN,19.3998,19.8738,NaN,NaN,NaN,NaN
SAU,2.1998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8516,NaN,2.067,NaN,NaN,NaN,NaN
TCD,NaN,NaN,NaN,7.9083,NaN,NaN,NaN,NaN,7.059,7.1893,7.3035,7.4425,7.5843,7.8068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TGO,NaN,NaN,0.5975,0.6175,0.65,0.67425,0.7225,0.775,0.8525,NaN,0.64475,NaN,NaN,NaN,NaN,0.78075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TJK,2.475,2.55,2.3,2.35,2.25,2.15,2.1,2,2,2.05,2.125,2.075,2.2,2.3,2.425,2.575,2.65,2.775,3.225,3.425,3.475,NaN,NaN,NaN,NaN,NaN,NaN
TKM,NaN,NaN,NaN,NaN,2.7758,NaN,NaN,NaN,NaN,NaN,2.6928,NaN,NaN,NaN,6.5665,NaN,NaN,NaN,NaN,NaN,8.2735,NaN,NaN,NaN,NaN,NaN,NaN
URY,16.43,NaN,NaN,NaN,18.115,NaN,NaN,NaN,17.725,NaN,17.145,NaN,18.275,NaN,18.58,NaN,19.1,NaN,19.425,NaN,17.9625,NaN,17.5,NaN,18.12,NaN,NaN
UZB,7.777,8.3618,8.8271,9.0111,8.9543,8.7467,8.5956,8.5719,8.6727,8.7193,8.7475,8.7987,9.0858,9.552,10.1233,10.4394,11.0423,11.7513,12.5631,13.4114,14.2245,15.0427,15.4119,NaN,NaN,NaN,NaN
VNM,NaN,NaN,NaN,NaN,52.3224,NaN,NaN,NaN,NaN,NaN,59.5938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.9393,NaN,NaN,59.131,NaN,NaN,NaN
YEM,NaN,NaN,NaN,NaN,NaN,2.2803,NaN,NaN,NaN,NaN,2.6873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6,NaN,5.1947,NaN,NaN,NaN,NaN
ZWE,NaN,NaN,NaN,NaN,5.921,NaN,NaN,NaN,NaN,NaN,5.4975,NaN,NaN,NaN,NaN,NaN,5.3475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
