code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019
entity,KYOTOGHGAR4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
source,CRF2019
descr,Result of CH4+N2O_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019+CO2_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019 - regarding information just missing in one of the tables as zero
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As2; Table10s2; Table10s3; Table10s4; Table4
unit,MtCO2eq
gwp,AR4
iso3,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
JPN,NaN,NaN,NaN,NaN,-62.4752,-70.5176,-73.6019,-76.6164,-76.3193,-77.2697,-81.8959,-84.2973,-85.7283,-86.0524,-87.9074,-88.4388,-89.8983,-100.1071,-96.5314,-91.3395,-85.9139,-80.9794,-70.7044,-66.9916,-70.5466,-69.8663,-72.8713,-66.1601,-64.5298,-59.5738,-54.5203,-57.4578
KAZ,NaN,NaN,NaN,NaN,-15.7514,-18.9337,-22.1242,-25.3569,-26.746,-26.904,-29.1473,-27.5917,-31.1346,-28.1862,-26.729,-19.9697,-14.1028,-6.0741,-7.8656,-7.2818,-5.9524,-6.8432,-7.032,-3.9221,-7.2846,-8.5258,-8.8669,-11.3733,-9.4505,-11.6212,-7.9806,-7.0789
LIE,NaN,NaN,NaN,NaN,0.0069513,-0.0091182,0.0020048,-0.0013384,0.018303,0.004615,-0.00386,0.0077573,-0.00014871,-0.0013089,0.024823,0.001253,0.0021702,0.0062504,0.008452,0.0084821,0.01337,0.022651,0.024798,0.021746,0.020253,0.024047,0.024298,0.016616,0.016506,0.011061,0.0092075,0.010546
LTU,NaN,NaN,NaN,NaN,-5.0618,-5.1033,-4.7502,-5.7365,-5.1929,-3.9378,1.2726,0.18679,-7.1666,-6.2967,-8.5613,-6.493,-5.4887,-5.0732,-4.4061,-3.7275,-1.989,-3.8703,-4.5043,-5.6701,-8.9833,-8.8035,-8.2586,-7.7968,-6.4678,-3.8799,-6.0321,-5.2964
LUX,NaN,NaN,NaN,NaN,0.12456,-0.17052,-0.52091,-0.62196,-0.42028,-0.52987,-0.57272,-0.66064,-0.53736,-0.64123,-0.6715,-0.68252,-0.68438,-0.64495,-0.64933,-0.60115,-0.51412,-0.42938,-0.44668,-0.42284,-0.088418,-0.22031,-0.31263,-0.50011,-0.41611,-0.36195,-0.4521,-0.34382
LVA,NaN,NaN,NaN,NaN,-9.8289,-10.2418,-10.6044,-10.5647,-13.4721,-12.3753,-12.6418,-10.9474,-10.0558,-6.4585,-8.7514,-9.5458,-7.7856,-7.3883,-3.7158,-3.185,-3.8527,-4.2003,-4.6655,-2.0015,0.077626,0.0070441,-2.063,-1.3177,3.039,1.6968,-0.30647,-1.7068
MCO,NaN,NaN,NaN,NaN,1.5774e-06,-2.6892e-06,-8.2502e-06,-1.281e-05,-1.8909e-05,-2.3193e-05,-2.5656e-05,-2.8189e-05,-3.0172e-05,-3.3035e-05,-3.5093e-05,-3.8331e-05,-2.9766e-05,-3.1058e-05,-1.4229e-05,-4.3632e-05,-4.7621e-05,-5.3944e-05,-5.5353e-05,-6.185e-05,-5.033e-05,-4.246e-05,-3.5211e-05,-3.337e-05,-2.6384e-05,6.8098e-05,-5.6997e-06,-3.8806e-06
MLT,NaN,NaN,NaN,NaN,0.0029624,0.0047502,0.0043558,0.0032732,0.003679,0.003071,0.0030037,0.0029305,0.0025468,0.0019196,0.0031509,0.0021051,0.0012642,0.0013872,0.001535,0.0017081,0.0018789,0.0020137,0.00211,0.0022459,0.0019979,0.0022331,0.0024683,0.0027052,0.0029404,0.0031756,0.0034108,0.003646
NLD,NaN,NaN,NaN,NaN,6.4915,6.5837,6.5495,6.6139,6.6249,6.4284,6.3724,6.2788,6.2691,6.1982,6.0718,6.073,6.0254,6.0609,5.7939,5.6607,5.6004,5.5744,5.4278,5.6166,5.5691,5.5916,5.5471,5.7403,5.6305,5.6455,5.5791,5.6001
NOR,NaN,NaN,NaN,NaN,-9.9689,-12.8026,-13.7648,-12.6379,-14.7543,-13.8244,-16.6222,-16.4761,-19.6242,-22.097,-24.4091,-26.3165,-27.0284,-28.483,-27.8332,-25.1426,-27.1397,-26.9142,-27.6718,-30.3486,-26.4579,-27.9501,-24.4836,-25.2154,-24.0724,-23.2127,-23.7788,-24.991
NZL,NaN,NaN,NaN,NaN,-31.1618,-33.5658,-33.3487,-33.4877,-32.561,-30.7406,-29.578,-30.0271,-30.2832,-31.978,-31.0644,-31.0306,-28.5411,-29.6863,-29.6233,-28.8051,-26.812,-25.3616,-32.41,-30.3771,-31.1598,-26.5662,-25.5893,-23.0981,-25.9395,-25.3247,-24.8316,-23.9584
POL,NaN,NaN,-15.7035,-20.3879,-27.1909,-19.9777,1.4302,-4.1737,-5.3063,-19.8998,-38.3223,-38.1157,-40.0695,-36.3788,-32.8967,-28.4194,-38.0357,-40.495,-51.7966,-46.6073,-40.062,-33.7148,-32.9343,-31.217,-30.0205,-36.7333,-36.3194,-38.2715,-29.471,-30.5565,-26.0434,-33.8461
PRT,NaN,NaN,NaN,NaN,1.155,1.0912,-3.2316,-4.3307,-5.0917,-4.6544,-8.0731,-8.9784,-7.1603,-8.4493,-5.6784,-8.6197,-8.1346,2.6159,-7.1759,1.5198,-8.2474,-12.1336,-13.6279,-13.4945,-10.9104,-11.0468,-8.5706,-7.9283,-9.6588,-8.4653,-5.3941,7.2304
ROU,NaN,NaN,NaN,-17.0729,-18.9175,-18.8657,-19.848,-21.1332,-20.3171,-19.8316,-18.8304,-19.2202,-21.3632,-20.8455,-20.912,-21.8099,-19.7512,-20.1218,-19.8458,-20.9063,-20.4491,-19.6772,-20.0892,-20.0624,-20.7181,-19.477,-20.8235,-21.3178,-22.3366,-21.9301,-23.1051,-21.68
RUS,NaN,NaN,NaN,NaN,-73.402,-51.5547,-73.0298,-82.0948,-169.0159,-250.715,-317.1197,-393.399,-477.5851,-492.0067,-512.4682,-569.3689,-594.5655,-611.1791,-568.5195,-563.9205,-558.5357,-575.2635,-644.6127,-691.6321,-727.0551,-678.8522,-667.6668,-656.3906,-623.4306,-601.0137,-616.5736,-577.7037
SVK,NaN,NaN,NaN,NaN,-9.7005,-10.4007,-10.9876,-10.7706,-10.2799,-9.829,-9.7299,-9.6236,-10.6134,-9.863,-9.8933,-9.1322,-9.6583,-9.236,-9.2491,-5.7191,-8.5773,-8.1555,-7.1543,-6.9171,-6.1479,-6.4685,-7.4258,-8.0964,-6.1191,-6.6167,-6.7221,-6.5844
SVN,-4.8498,-4.8669,-4.818,-4.7448,-4.4626,-2.9627,-2.9489,-2.929,-3.1132,-3.2052,-3.949,-3.947,-4.0845,-4.1324,-4.2382,-5.2985,-5.43,-7.1381,-7.3097,-7.3461,-7.3308,-7.6617,-6.5075,-6.4511,-6.3937,-6.2916,-6.2078,-6.3136,-5.1443,-3.9153,-2.4037,-1.5243
SWE,NaN,NaN,NaN,NaN,-34.3956,-33.6935,-33.6874,-28.7689,-32.7284,-31.1245,-38.5923,-35.9343,-37.8665,-35.3636,-36.595,-41.7765,-39.5511,-36.0781,-33.4212,-31.4506,-35.7721,-38.2872,-38.3505,-39.3855,-43.9467,-37.2858,-42.3984,-39.5638,-41.147,-45.4552,-44.5378,-43.7274
TUR,NaN,NaN,NaN,NaN,-55.7647,-56.7268,-56.8571,-56.061,-57.4525,-57.3997,-57.723,-61.6933,-62.6269,-64.0425,-61.5561,-64.7165,-72.4867,-74.5479,-73.6949,-74.6933,-74.7163,-74.4362,-69.2131,-72.8472,-73.4918,-77.1148,-74.4013,-76.4761,-77.5095,-97.2064,-95.9299,-99.9075
UKR,NaN,NaN,NaN,NaN,-59.2919,-63.5955,-60.6518,-53.6639,-58.7726,-53.8221,-48.9228,-45.471,-50.4738,-52.5329,-45.6552,-40.3507,-38.5864,-44.3993,-32.8919,-29.3432,-33.6482,-35.7447,-20.6156,-23.4865,-29.345,-13.3449,-18.6699,-5.8035,-3.9167,-6.2812,-1.8321,-10.3544
USA,NaN,NaN,NaN,NaN,-807.0141,-817.078,-793.5436,-773.8899,-802.2647,-753.0985,-786.8615,-767.5281,-765.6656,-757.9066,-767.4377,-722.1302,-722.0546,-629.1212,-668.0285,-740.0342,-738.4775,-699.7307,-654.2243,-685.29,-669.3585,-731.5764,-726.1017,-713.4603,-670.0187,-711.0572,-722.6139,-714.0954
