code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI
entity,KYOTOGHGAR4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
descr,Result of N2O+CH4_CAT5_TOTAL_NET_HISTORY_EDGAR42COMPX+CO2_CAT5_TOTAL_NET_HISTORY_EDGAR42COMPX - regarding information just missing in one of the tables as zero; interpolation of NaN values by 'perform_interpolation_on_table'; downscaled using POP_DEMOGR_TOTAL_NET_HISTORY_UN2017P
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
source,EDGAR42COMPI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,v4.2_FT2010_CH4_tot_2000_2010.xls; v4.2_FT2010_CO2_excl_short-cycle_org_C_2000.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2001.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2002.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2003.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2004.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2005.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2006.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2007.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2008.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2009.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2010.csv; v4.2_FT2010_N2O_tot_2000_2010_fixed.xls
unit,MtCO2eq
gwp,AR4
iso3,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
BRN,8.3796,5.162,6.7224,10.0428,5.2673,5.1687,4.9863,8.1253,10.0033,8.5666,10.3434,8.9068,8.8255,17.343,9.6682,8.0294,9.607,13.1475,10.1496,6.7504,11.7474,10.4002,15.5916,12.5857,10.9387,12.61,9.3044,9.2157,52.1763,11.1613,7.7366,8.1449,8.0226,7.6138,6.906,13.1357,6.8514,6.2838,5.6974,5.7808,5.7826
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5138,2.6731,2.2106,1.2107,0.79512,0.50153,0.53722,0.57194,2.717,0.64507,1.1355,2.6413,7.5173
BWA,0.20371,0.097892,0.12988,0.16186,0.15789,0.20785,0.20688,0.25085,0.27984,0.36275,0.33481,0.32485,0.36882,0.38583,0.3549,0.37789,0.3919,0.47481,0.42591,0.46688,0.55878,0.51384,0.63668,0.48688,0.51984,0.52583,0.49287,0.48388,0.81498,0.42292,0.41661,0.67494,0.8878,0.47791,0.41977,0.47591,0.40154,0.40879,0.40017,0.40003,0.4002
CAF,135.5377,132.1355,130.492,140.7386,111.5423,118.58,121.2552,141.4026,120.5893,130.9666,161.3675,135.0277,155.6585,144.8558,143.8265,130.7781,132.0574,137.7025,127.8159,138.743,174.2372,139.2145,161.7261,150.3141,149.5236,166.0274,161.6597,164.7519,139.7613,132.8324,144.501,187.289,157.6777,146.9253,136.5399,139.8865,336.473,517.6884,386.9727,331.2084,365.4465
CAN,43.7744,50.9514,15.8495,15.9172,24.5902,29.1471,68.5,42.0034,9.5207,98.2607,146.2202,151.1505,50.1997,51.0144,19.6545,24.5856,29.1442,30.7078,39.7541,192.4756,30.1619,51.488,27.5437,64.209,193.6646,203.7648,44.754,15.1965,274.8125,114.5155,28.9823,16.2103,59.7928,140.4487,145.4574,48.1222,12.217,11.386,5.2471,2.326,8.3121
CHE,1.4664,0.67699,0.61449,1.1926,1.2164,1.1312,0.65533,1.4467,1.5249,1.1081,1.3181,2.1909,0.95706,2.0388,1.0729,1.587,1.2431,1.444,1.6131,2.4314,2.1919,1.883,1.5107,1.5877,2.4728,1.4512,1.0743,1.2693,0.85308,0.29763,0.40896,0.30691,0.32552,0.33848,0.2976,0.32651,0.31256,0.30878,0.305,0.29765,0.29765
CHL,1.1992,0.5945,0.90555,0.62792,0.74272,0.94477,1.2122,0.73834,1.0494,1.1424,1.2354,1.0232,1.1162,1.1438,0.7135,0.82833,0.96495,1.3414,0.97655,0.98235,1.2498,1.1204,1.2526,1.4284,0.73202,0.9296,1.0182,1.0413,0.28696,0.85795,0.2709,0.25488,0.22301,0.29526,0.26604,0.301,0.22258,0.99789,0.80936,0.75275,0.3169
CHN,7.6606,5.4161,9.7607,16.4228,12.0004,14.1044,16.2224,22.8321,27.3792,27.4835,32.0096,32.1138,34.3505,47.8704,39.2775,39.2909,43.5833,50.3291,48.1648,45.7248,54.5751,54.2912,62.8772,60.2694,59.6592,63.4971,60.5625,62.0066,61.8263,64.1247,64.4221,64.7719,65.6646,68.0459,69.4114,69.5225,69.4748,70.2953,71.7129,73.3928,74.9717
CIV,110.1526,107.4339,106.145,114.5213,90.8456,96.6124,98.8343,115.2556,98.3892,106.8684,131.6247,110.2687,127.0828,118.3541,117.5607,107.008,108.0933,112.7324,104.7425,113.6741,142.5671,114.1162,132.4223,123.1627,122.5258,135.9495,132.4139,134.9348,127.3275,110.9551,151.9368,141.0742,139.9715,106.4957,104.3545,124.1292,128.4109,138.7251,148.5287,133.0803,148.6679
CMR,53.3579,52.0356,51.4062,55.4617,43.9893,46.776,47.8488,55.8002,47.6232,51.7277,63.7147,53.3663,61.5097,57.274,56.8873,51.7719,52.2948,54.5369,50.6608,54.9836,68.9743,55.1898,64.0498,59.5569,59.2478,65.7444,64.0252,65.2399,51.0726,42.9729,60.3444,56.3551,44.4195,38.9035,40.2552,36.8109,41.3926,68.3411,54.9631,48.6843,46.171
