cat,IPCMLULUCF
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,EDGAR42COMPI
tablename,KYOTOGHG_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
BRA,988.308,930.8996,989.5917,1087.5321,756.1033,837.7285,869.3562,878.0657,1070.1734,895.2965,643.5522,767.3324,811.3187,998.5535,1232.029,1623.076,563.6633,506.6553,465.3674,444.329,554.7378
BRN,11.7474,10.4002,15.5916,12.5857,10.9387,12.61,9.3044,9.2157,52.1763,11.1613,7.7366,8.1449,8.0226,7.6138,6.906000000000001,13.1357,6.8514,6.2838,5.6974,5.7808,5.7826
BTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5138,2.6731,2.2106,1.2107,0.7951199999999999,0.50153,0.53722,0.57194,2.717,0.64507,1.1355,2.6413,7.5173
BWA,0.55878,0.51384,0.63668,0.48688000000000003,0.51984,0.52583,0.49287,0.48388000000000003,0.81498,0.42291999999999996,0.41661000000000004,0.67494,0.8878,0.47791000000000006,0.41977,0.47591000000000006,0.40154,0.40879,0.40016999999999997,0.40003,0.4002
CAF,174.2372,139.2145,161.7261,150.3141,149.5236,166.0274,161.6597,164.7519,139.7613,132.8324,144.501,187.28900000000002,157.6777,146.9253,136.5399,139.8865,336.473,517.6884,386.9727,331.2084,365.4465
CAN,30.1619,51.488,27.5437,64.209,193.6646,203.7648,44.754,15.1965,274.8125,114.5155,28.9823,16.2103,59.7928,140.4487,145.4574,48.1222,12.217,11.386,5.2471,2.326,8.3121
CHE,2.1919,1.883,1.5107,1.5877,2.4728,1.4512,1.0743,1.2693,0.85308,0.29763,0.40896,0.30691,0.32552,0.33848,0.2976,0.32650999999999997,0.31256,0.30878,0.305,0.29765,0.29765
CHL,1.2498,1.1204,1.2526,1.4284,0.73202,0.9296,1.0182,1.0413,0.28696,0.85795,0.2709,0.25488,0.22300999999999999,0.29525999999999997,0.26604,0.301,0.22258000000000003,0.9978899999999999,0.8093600000000001,0.75275,0.3169
CHN,54.5751,54.2912,62.8772,60.2694,59.6592,63.4971,60.5625,62.0066,61.8263,64.1247,64.4221,64.7719,65.6646,68.0459,69.4114,69.5225,69.4748,70.2953,71.7129,73.3928,74.9717
CIV,142.5671,114.1162,132.4223,123.1627,122.5258,135.9495,132.4139,134.9348,127.3275,110.9551,151.9368,141.0742,139.9715,106.4957,104.3545,124.1292,128.4109,138.7251,148.5287,133.0803,148.6679
CMR,68.9743,55.1898,64.0498,59.5569,59.2478,65.7444,64.0252,65.2399,51.0726,42.9729,60.3444,56.3551,44.4195,38.9035,40.2552,36.8109,41.3926,68.3411,54.9631,48.6843,46.17100000000001
