iso3, Y1990, Y1991, Y1992, Y1993, Y1994, Y1995, Y1996, Y1997, Y1998, Y1999, Y2000, Y2001, Y2002, Y2003, Y2004, Y2005, Y2006, Y2007, Y2008, Y2009, Y2010, Y2011, Y2012, Y2013, Y2014, Y2015, Y2016, Y2017, Y2018, Y2019, Y2020, Y2021, Y2022, Y2023, Y2024, Y2025, Y2026, Y2027, Y2028, Y2029, Y2030
MDG, 22.2278, 22.4478, 22.6411, 22.8856, 23.2353, 24.9379, 26.5315, 28.4042, 29.9482, 30.8545, 30.491999999999997, 28.1803, 26.4512, 26.3885, 26.5888, 28.7184, 30.6898, 30.7975, 30.2645, 30.5093, 30.9458, 31.3482, 32.3551, 32.1824, 32.5879, 32.9325, 34.0544, 33.9906, 34.3369, 34.6832, 35.0295, 47.21205925333224, 60.23820576711352, 74.10793954134384, 88.8212605760232, 104.3781688711516, 120.77866442672902, 138.0227472427555, 156.11041731923103, 175.04167465615558, 194.81651925352918
MDV, 0.20600000000000002, 0.18836, 0.26647, 0.23464000000000002, 0.2381, 0.29539, 0.33864, 0.38006999999999996, 0.35299, 0.47648, 0.49731000000000003, 0.50998, 0.64462, 0.5596899999999999, 0.72268, 0.65901, 0.82, 0.8451299999999999, 0.9087799999999999, 0.95199, 1.0073, 1.0611, 1.1892, 1.1698, 1.4135, 1.3367, 1.3961, 1.4551, 1.5970153846153847, 1.7389307692307692, 1.8808461538461536, 1.9742152615384616, 2.060772430769231, 2.140517661538462, 2.213450953846154, 2.2795723076923076, 2.338881723076923, 2.3913792000000003, 2.437064738461539, 2.4759383384615385, 2.508
MEX, 454.3874, 463.0508, 464.9716, 469.8352, 494.0048, 485.7627, 516.9789, 550.2369, 579.0708, 556.033, 563.1332, 552.6421, 568.7299, 570.6087, 574.3883, 593.3897, 620.0876, 664.5313, 745.3385, 710.3623, 688.7677, 690.3539, 671.0736, 681.8095, 691.2049, 695.0717, 734.7292, 741.7181, 738.6753666666667, 735.6326333333333, 732.5899, 723.5331889951846, 713.0301561734636, 701.0808015348364, 687.6851250793031, 672.8431268068639, 657.5368177345892, 640.6887705177658, 622.298985156393, 602.3674616504711, 580.8942000000001
MHL, 0.097591, 0.10244, 0.10125, 0.10982, 0.11439, 0.11510999999999999, 0.11577, 0.11635, 0.12072999999999999, 0.11739000000000001, 0.13057, 0.13525, 0.13979, 0.14069, 0.1455, 0.14207999999999998, 0.15306, 0.16446, 0.17015, 0.17496, 0.17805, 0.17732, 0.17808, 0.17627, 0.1914, 0.19816, 0.21841, 0.22394, 0.19771, 0.19771, 0.19771, 0.183368, 0.169026, 0.154684, 0.14034200000000002, 0.126, 0.1212, 0.1164, 0.1116, 0.1068, 0.102
MKD, 13.6629, 12.9481, 12.402999999999999, 12.8162, 12.3928, 12.606, 12.279000000000002, 13.0624, 13.700999999999999, 13.2822, 12.9591, 13.046, 13.3203, 12.9302, 12.8501, 13.6429, 12.9154, 13.44, 13.6539, 13.7476, 13.8485, 13.9481, 14.0535, 13.238, 12.9084, 12.6431, 12.6795, 13.2494, 13.5035, 13.9083, 14.3004, 14.246196, 14.175481999999999, 14.084524999999998, 13.970264, 13.829839999999999, 13.663085999999998, 13.471948999999999, 13.257363999999999, 13.020207, 12.761489999999998
MLI, 9.7445, 9.6743, 9.7394, 9.8785, 10.1195, 10.3745, 10.8072, 11.2973, 12.5029, 13.4513, 14.114, 18.553, 22.3762, 25.3413, 31.851999999999997, 34.3837, 38.1765, 41.0077, 46.7507, 46.048, 54.3495, 54.6978, 55.3479, 57.3156, 58.8089, 60.3494, 67.6768, 70.5462, 70.10113333333334, 69.65606666666666, 69.211, 70.21642805302247, 71.0312420795337, 71.65544207953371, 72.08902805302246, 72.332, 71.78801323999721, 71.09701985999583, 70.25901985999582, 69.27401323999722, 68.142
MLT, 2.1516, 2.3284, 2.5314, 2.5564, 2.7279, 2.7288, 2.6935, 2.7532, 2.7588, 2.8097, 2.8144, 2.7277, 2.7298, 2.9443, 2.8839, 2.9669, 3.0259, 3.1257, 3.1282, 2.925, 2.9669, 3.0407, 3.2537, 2.9164, 2.9316, 2.2451, 1.9529, 2.2092, 2.2292, 2.3164, 2.4022, 2.3349142946564942, 2.258854804631642, 2.1736331804725384, 2.078936415618157, 1.974496025014199, 1.859616123363213, 1.7339268540433848, 1.5972611035679323, 1.4493531300175886, 1.2899152775
MMR, 63.6897, 62.832, 66.1429, 68.1216, 70.5654, 73.1007, 72.5896, 72.0118, 73.6574, 78.7791, 81.8524, 81.1978, 82.4535, 86.3452, 92.0443, 94.0148, 99.2881, 102.0291, 99.3915, 101.3894, 105.4253, 105.5851, 102.9193, 107.035, 118.2528, 121.5147, 125.9906, 129.9725, 130.2268, 132.9252, 135.583, 138.2138, 140.8707, 143.5593, 146.2779, 149.0195, 151.7756, 154.5, 157.1254, 159.5847, 161.8097
MNE, 6.3354, 7.095, 5.2427, 3.5905, 2.7287, 2.412, 3.4338, 4.8781, 5.2019, 5.4508, 6.0938, 5.8478, 6.5143, 6.0283, 5.8605, 5.271, 5.7001, 5.8542, 5.5804, 4.2287, 5.0343, 5.3643, 4.8696, 4.4686, 4.4385, 4.6834, 4.5574, 4.6184, 4.3162, 4.4102, 4.4971, 4.453764760732193, 4.408594520229367, 4.360229633162123, 4.307267298735209, 4.24871954875873, 4.184803188004199, 4.116194981480505, 4.042550945092697, 3.96327273609896, 3.878211597442935
MNG, 23.6604, 25.205, 23.4309, 22.214000000000002, 21.72300000000001, 22.5942, 21.3958, 22.3491, 22.8433, 22.9438, 21.406, 18.4468, 18.0496, 18.0967, 18.8833, 21.3893, 24.5999, 26.8359, 27.693, 28.7616, 25.9991, 28.8628, 32.2758, 35.1042, 37.2615, 39.5443, 43.4721, 45.723, 46.14430769230769, 46.565615384615384, 46.98692307692308, 46.73229310396635, 46.46564927884614, 46.186991601562504, 45.89632007211538, 45.59363469050481, 45.27893545673076, 44.952222370793265, 44.613495432692304, 44.26275464242788, 43.9
MOZ, 22.8234, 22.9966, 23.2235, 23.6015, 23.8014, 24.1029, 21.9384, 20.6079, 22.7694, 22.1304, 21.2763, 25.8987, 27.1664, 28.3444, 28.8869, 31.0209, 30.2977, 31.9438, 33.8453, 31.51, 34.6985, 33.7583, 35.7857, 37.0857, 42.2286, 41.6686, 40.319, 42.0719, 43.674, 45.5646, 47.4741, 48.39465444565518, 49.259564448311565, 50.04702452334099, 50.7383, 52.01900209014785, 53.226398580120424, 54.36377715050601, 55.43310774935789, 56.43667591325452, 57.376200000000004
MRT, 4.3001, 4.3761, 4.5181, 4.7025, 5.0122, 5.0025, 5.1858, 5.3101, 5.4431, 5.6929, 5.8618, 6.0627, 6.2928, 6.3451, 6.7713, 6.9054, 7.5269, 7.9505, 8.0272, 8.3367, 8.6783, 8.9333, 9.1222, 9.4451, 9.6729, 10.2643, 10.7815, 10.9101, 11.221330769230768, 11.532561538461538, 11.843792307692306, 11.813683443441906, 11.76609449774288, 11.701025470595223, 11.618476361998939, 11.518447171954021, 11.400937900460479, 11.265948547518303, 11.113479113127497, 10.943529597288064, 10.7561
MSR, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
