add_info,iso3,tar_type_used,tar_type_calc,tar_type_orig,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_LU_refyr,emi_bl_LU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq,,
,AND,RBU,ABS,ABU,unconditional,best,-37%,,,,2030,2030,0.36451905,0.22886905,AR4,SSP5BLREMMP,0.578601667,0.578601667,-0.13565,-0.13565,Yes (not lulucf),1,1,79120.5,79120.5,,,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,,-0.13565,-0.13565
,ARG,ABS,ABS,ABS,unconditional,best,,483 MtCO2eq_SAR,,,2030,2030,373.2833154,502.7103197,AR4,SSP5BLREMMP,486.7314,486.7314,103.85805,103.85805,,1,1,45918350.7,45918350.7,1.26E+12,1.26E+12,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.4270043,129.4270043
,ARG,ABS,ABS,ABS,conditional,best,,369 MtCO2eq_SAR,,,2030,2030,254.6311903,384.0581946,AR4,SSP5BLREMMP,486.7314,486.7314,103.85805,103.85805,,1,1,45918350.7,45918350.7,1.26E+12,1.26E+12,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.4270043,129.4270043
,ARG,ABU,ABS,ABS,unconditional,best,,-109 MtCO2eq_SAR,,,2030,2030,373.2833154,502.7103197,AR4,SSP5BLREMMP,486.7314,486.7314,103.85805,103.85805,,1,1,45918350.7,45918350.7,1.26E+12,1.26E+12,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.4270043,129.4270043
,ARG,ABU,ABS,ABS,conditional,best,,-223 MtCO2eq_SAR,,,2030,2030,254.6311903,384.0581946,AR4,SSP5BLREMMP,486.7314,486.7314,103.85805,103.85805,,1,1,45918350.7,45918350.7,1.26E+12,1.26E+12,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.4270043,129.4270043
,ARG,RBU,ABS,ABS,unconditional,best,,-18%,,,2030,2030,375.8228872,505.2498915,AR4,SSP5BLREMMP,486.7314,486.7314,103.85805,103.85805,Yes (not lulucf),1,1,45918350.7,45918350.7,1.26E+12,1.26E+12,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.4270043,129.4270043
,ARG,RBU,ABS,ABS,conditional,best,,-37%,,,2030,2030,258.7527904,388.1797947,AR4,SSP5BLREMMP,486.7314,486.7314,103.85805,103.85805,Yes (not lulucf),1,1,45918350.7,45918350.7,1.26E+12,1.26E+12,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.4270043,129.4270043
,ARM,AEI,AEI,AEI,conditional,best,,5.4 tCO2eq_SAR/capita,,POP,2025,2025,16.24869359,15.71012359,AR4,SSP5BLREMMP,14.0195,14.0195,-0.53857,-0.53857,,0.805708337,0.805708337,2760103.531,2760103.531,38697454301,38697454301,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,,-0.53857,-0.53857
,ARM,AEI,AEI,AEI,conditional,best,,5.4 tCO2eq_SAR/capita,,POP,2030,2030,15.61033525,15.07176525,AR4,SSP5BLREMMP,16.1934,16.1934,-0.53857,-0.53857,,0.801912873,0.801912873,2647950.683,2647950.683,48398185900,48398185900,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,,-0.53857,-0.53857
,ARM,AEI,AEI,AEI,conditional,best,,2.07 tCO2eq_SAR/capita,,POP,2050,2050,5.193460531,4.654890531,AR4,SSP5BLREMMP,26.2055,26.2055,-0.53857,-0.53857,,0.792561172,0.792561172,2133431.276,2133431.276,97461050256,97461050256,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,,-0.53857,-0.53857
,AUS,RBY,RBY,RBY,unconditional,worst,,-26%,,,2005,2030,444.9712965,454.004134,AR4,SSP5BLREMMP,524.7326,701.3615,88.7865,9.0328375,Yes (not lulucf),1,1,20178540,31448982.35,8.16E+11,1.84E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,88.7865,9.0328375
,AUS,RBY,RBY,RBY,unconditional,best,,-28%,,,2005,2030,432.7009145,441.733752,AR4,SSP5BLREMMP,524.7326,701.3615,88.7865,9.0328375,Yes (not lulucf),1,1,20178540,31448982.35,8.16E+11,1.84E+12,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,88.7865,9.0328375
,AUT,RBY,RBY,RBY,unconditional,best,,-40%,,,1990,2030,41.3484725,36.28616,AR4,SSP5BLREMMP,80.4576,99.5623,-11.9884,-5.0623125,Yes (not lulucf),1,1,7723949,9574075.218,1.94E+11,5.74E+11,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,-11.9884,-5.0623125
,AZE,ABS,ABS,RBY,unconditional,best,47.665 MtCO2eq_SAR,45.267 MtCO2eq_SAR,,,2030,2030,50.55373356,48.01040296,AR4,SSP5BLREMMP,85.245,85.245,-5.621175,-5.621175,,1,1,10455323.01,10455323.01,2.29E+11,2.29E+11,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,-5.621175,-5.621175
,AZE,RBY,ABS,RBY,unconditional,best,-35%,-35%,,,1990,2030,50.54218,46.62854784,AR4,SSP5BLREMMP,77.7572,85.245,-3.69,-5.621175,Yes (not lulucf),1,1,7242761,10455323.01,49903250000,2.29E+11,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,-3.913632159,-5.621175
,BDI,ABS,ABS,RBU,unconditional,best,,57.054 MtCO2eq_SAR,,,2025,2025,10.89472874,62.982222,AR4,SSP5BLREMMP,11.117,11.117,2.967616286,2.967616286,,0.774290457,0.774290457,12850297.39,12850297.39,16294640992,16294640992,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,53.15016796,53.15016796
,BDI,ABS,ABS,RBU,unconditional,best,,72.250 MtCO2eq_SAR,,,2030,2030,15.68111633,79.75716934,AR4,SSP5BLREMMP,16.1662,16.1662,2.967616286,2.967616286,,0.787299688,0.787299688,14006749.94,14006749.94,27491829416,27491829416,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,66.05819804,66.05819804
,BDI,ABS,ABS,RBU,conditional,best,,48.321 MtCO2eq_SAR,,,2025,2025,9.227121457,53.34181564,AR4,SSP5BLREMMP,11.117,11.117,2.967616286,2.967616286,,0.774290457,0.774290457,12850297.39,12850297.39,16294640992,16294640992,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,53.15016796,53.15016796
,BDI,ABS,ABS,RBU,conditional,best,,59.588 MtCO2eq_SAR,,,2030,2030,12.93296,65.77951843,AR4,SSP5BLREMMP,16.1662,16.1662,2.967616286,2.967616286,,0.787299688,0.787299688,14006749.94,14006749.94,27491829416,27491829416,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,66.05819804,66.05819804
,BDI,ABU,ABS,RBU,unconditional,best,,-1.164 MtCO2eq_SAR,,,2025,2025,10.89472874,62.982222,AR4,SSP5BLREMMP,11.117,11.117,2.967616286,2.967616286,,0.774290457,0.774290457,12850297.39,12850297.39,16294640992,16294640992,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,53.15016796,53.15016796
,BDI,ABU,ABS,RBU,unconditional,best,,-2.235 MtCO2eq_SAR,,,2030,2030,15.68111633,79.75716934,AR4,SSP5BLREMMP,16.1662,16.1662,2.967616286,2.967616286,,0.787299688,0.787299688,14006749.94,14006749.94,27491829416,27491829416,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,,66.05819804,66.05819804
