2017_MtCO2eq_AR4,CO2_IPCM0EL,CH4_IPCM0EL,N2O_IPCM0EL,HFCSAR4_IPCM0EL,PFCSAR4_IPCM0EL,SF6_IPCM0EL,NF3_IPCM0EL,FGASESAR4_IPCM0EL,KYOTOGHGAR4_IPCM0EL,KYOTOGHGAR4_IPC1,KYOTOGHGAR4_IPC2,KYOTOGHGAR4_IPCMAG,KYOTOGHGAR4_IPC4,KYOTOGHGAR4_IPC5,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,HFCSAR4_IPC2,PFCSAR4_IPC2,SF6_IPC2,NF3_IPC2,FGASESAR4_IPC2
EGY,0.6235989025004971,0.703849125900086,0.9069126812503516,0.10255889938279117,4.899858578057622,0.0,,0.3483169680329813,0.6500045858803033,0.5604167180894246,0.879012339271276,0.6818455768220051,1.851020253798895,0.564974174913563,0.5865378895175858,0.9068344912926944,2.347717030828642,,,0.33174895219463746,0.04758947918150002,0.5098026167423938,1.93247525164369,,0.02266347364683701,3.240140855943055,0.8286302754906475,1.328329575641164,0.565026189573064,0.10255889938279117,4.899858578057622,0.0,,0.3483169680329813
ERI,0.0019706067474635235,0.05337698348732064,0.05409027705295685,,,,,,0.014032162823177492,0.003246516332729776,0.0022319314162813305,0.07555954828870022,0.05027835738143611,0.011163370900631893,0.001873411341718665,0.003046246279186313,0.0,,,0.017592437485131184,,0.08314577198254874,0.05385133060311999,,0.007540885959840257,9.607394398435803e-06,0.06923628928906228,0.02126991968270483,0.011164398662540424,,,,,
ESP,0.7819329368811738,0.49628216580767365,0.6262171444234677,0.7235626741614515,0.24764831112279365,0.40997542170894713,2.0769609863048375,0.6864153627116362,0.7214596336998914,0.732971269303363,0.6892204574400742,0.6496385474183143,0.8274560513635766,0.7177385929622143,0.7925042559332206,0.7041548007698095,0.36994402351695893,0.10011529031461197,,0.09680301276038841,1.3709141968476395,0.6882149987845236,0.8272785647778438,,0.6934875584094187,0.3906921911733465,0.6100799091085604,0.972419155906324,0.7178046719622491,0.7235626741614515,0.24764831112279365,0.40997542170894713,2.0769609863048375,0.6864153627116362
EST,0.055419123760520536,0.014904526688519661,0.031912717192183825,0.02709245814019008,0.00011685426179292561,0.004429042986653573,,0.02429862751605469,0.04638695609373481,0.05559503518371158,0.01522873673864272,0.022747909515033637,0.02003940350585431,0.04578300437351395,0.05996326445086693,0.01334928708102157,0.009065166276335248,0.003813559047344247,,0.009988858154185803,,0.017299994986333084,0.019162146968147973,,0.041632082662555546,0.0015133748160912584,0.03210533669827983,0.032774399910019535,0.0457872194111018,0.02709245814019008,0.00011685426179292561,0.004429042986653573,,0.02429862751605469
ETH,0.04124462848470022,1.096494165506044,0.8335583864386783,0.0030982469061775113,,,,0.0027496511727139713,0.27075192795328257,0.09324590536337629,0.06692433144157194,1.3874219569372226,0.47679392454589237,0.5197874054790977,0.03536391876931103,0.09051439285357844,0.2137403235957608,0.04118493925982578,,0.6970702342833084,,1.700785742661027,0.4464513632733592,,0.2832579662113108,0.00017804597417905458,0.9882152459135778,0.8927959846038898,0.5198352599937099,0.0030982469061775113,,,,0.0027496511727139713
FIN,0.1272943437577947,0.05749473572214508,0.15909283056448012,0.14663231026941687,0.011321619432812572,0.09128858747396831,,0.1358439228687199,0.11773686185307417,0.11710134587699156,0.13727518504371242,0.106851072952516,0.1151214044420587,0.15546054018339275,0.12632587167868822,0.13825970350183092,0.12015855499712969,,,0.010509380192103283,0.023304092455540798,0.07113641551579038,0.11952150642644169,,0.19366389798885197,0.13697481545127815,0.16088492058122666,0.08981729425179302,0.15547485274390005,0.14663231026941687,0.011321619432812572,0.09128858747396831,,0.1358439228687199
FJI,0.004440922986691839,0.01127247077151367,0.012274344459507194,,,,,,0.006017021974833943,0.0042229058367047505,0.0022413831133536034,0.016651667001214288,0.014939628320990564,0.010571292978090665,0.004594223953462848,0.0028931718262792095,0.00586354133627922,,,0.0003770430895791451,,0.018534932524142466,0.015738159975463857,,0.0027399140344519356,0.002877854708471298,0.014517397180340128,0.009186495767659198,0.0105722662300182,,,,,
FRA,0.9987484216270122,0.7027303871905042,1.3902001326116487,2.1536577565098445,1.3716502842246114,0.8383961028609166,0.1944873387624547,2.031104299962884,0.9955129383992279,0.9480945910921686,1.001620475540784,1.2568844588386698,1.06378932696578,0.6731991303838873,1.024023380253811,0.700059266222104,1.1764011692383232,5.887041299510297,,0.09463976073424939,0.3452311788948562,1.0788298389428095,1.0201383538657687,,1.3317354724086499,0.8833651656920035,1.5366783755718028,0.5905962184432727,0.6732611088336965,2.1536577565098445,1.3716502842246114,0.8383961028609166,0.1944873387624547,2.031104299962884
FSM,0.0005191219770955281,0.0007129168628244237,0.0005625928655873395,,,,,,0.0005440524490795408,0.000524175936665718,1.4023476178806129e-05,0.0010559040484572186,0.0005599693373935863,1.933190833749708e-05,0.0005747927619081864,1.5609221520541238e-07,,,,2.9927334076966977e-05,,0.0013211406929536952,0.0006215280736720075,,6.6602338955425975e-06,0.0003281222657624635,0.0007224376473779402,,1.9333688140316976e-05,,,,,
GAB,0.01326501047687086,0.057011023863234964,0.01637907444866225,0.002691240751675587,,,,0.002388438853645201,0.020646248992437947,0.02448617284613376,0.002983487958899253,0.008656861605833139,0.02888734579610267,0.03300492948954244,0.014348916358251855,0.0033500240860518476,0.0,,,0.13303496878888427,,0.00512369480818951,0.03019333984457809,,0.02893353647854309,3.069800380317748e-06,0.014709172005672948,0.020354363698163427,0.033007968106607576,0.002691240751675587,,,,0.002388438853645201
