Row,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
KYOTOGHGAR4_IPCM0EL_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,1284.4112,NaN,NaN,NaN,NaN,NaN,1600.2412431715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2174.92155110999,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHGAR4_IPCMAG_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,399.373,NaN,NaN,NaN,NaN,NaN,409.6420532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,445.3921,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,14.317612,NaN,NaN,NaN,NaN,NaN,-220.43318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-251.94231,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC0_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,1228.54014,NaN,NaN,NaN,NaN,NaN,1301.20434397012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1848.31778237999,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC1A1_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,355.037,NaN,NaN,NaN,NaN,NaN,543.74929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,880.16825,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC1A2_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,150.674,NaN,NaN,NaN,NaN,NaN,229.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300.61746,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC1A3_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,80.286,NaN,NaN,NaN,NaN,NaN,98.10453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,188.009,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC1A4_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,131.552,NaN,NaN,NaN,NaN,NaN,127.6861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.39593,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC1A_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,717.549,NaN,NaN,NaN,NaN,NaN,998.62092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1461.19064,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPC1B1_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,13.65,NaN,NaN,NaN,NaN,NaN,12.29865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.212,NaN,NaN,NaN,NaN,NaN,NaN
