2017_MtCO2eq_AR4,CO2_IPCM0EL,CH4_IPCM0EL,N2O_IPCM0EL,HFCS_IPCM0EL,PFCS_IPCM0EL,SF6_IPCM0EL,NF3_IPCM0EL,FGASES_IPCM0EL,KYOTOGHG_IPCM0EL,KYOTOGHG_IPC1,KYOTOGHG_IPC2,KYOTOGHG_IPCMAG,KYOTOGHG_IPC4,KYOTOGHG_IPC5,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,HFCS_IPC2,PFCS_IPC2,SF6_IPC2,NF3_IPC2,FGASES_IPC2
ATA,8.666140191440579e-06,,,,,,,,8.666140191440579e-06,8.666140191440579e-06,,,,,8.666140191440579e-06,,,,,,,,,,,,,,,,,,,
ATG,0.0013315056196690535,7.898036517767103e-05,4.219953188586409e-05,3.449121277820649e-05,,,,3.449121277820649e-05,0.0014871830254425463,0.0012029846661833603,0.000184579929800354,4.9223693076533826e-05,3.506833985542017e-05,1.5331433272279263e-05,0.0011814106067151544,0.00015008661837823033,,,,1.408840648015686e-05,,3.177346890550936e-05,3.311869965639651e-05,,7.465715870836129e-06,6.492574686458012e-10,1.74508537641996e-05,1.9512351684006857e-06,1.5331433272279263e-05,3.449121277820649e-05,,,,3.449121277820649e-05
AUS,0.8778121732215285,0.2174243366967802,0.047818650974008156,0.025714474052332605,0.00042524821693020885,0.0003698230310785244,,0.026509650232537194,1.1695648111248542,0.9142723337227965,0.073594615293113,0.1532094005269356,0.02473776517329535,0.0037511161374971886,0.8283414697559474,0.04340037593525196,0.006005689297681383,6.452280723248912e-05,0.0,0.07907606334029264,0.0001542188482510803,0.11493265385099083,0.02326157904197862,0.0,0.006854800626556488,0.003530338797413992,0.032270847513871694,0.0014117157901821688,0.0037511161374971886,0.025714474052332605,0.00042524821693020885,0.0003698230310785244,,0.026509650232537194
AUT,0.1489159948012493,0.01387665330891737,0.007897616788983675,0.0036197410282841837,9.252921030673102e-05,0.0008374218822566313,2.519631886919058e-05,0.004574833874974891,0.17526509877412522,0.1182684483572859,0.03800476242428336,0.015336050288896976,0.003115017166211859,0.0005409254696430012,0.11572699057362858,0.03294430234688213,0.00024027374207343243,4.306417317972603e-06,,0.001309952546640019,0.00012885044058068417,0.009880205697506441,0.0025576173418193036,,0.0012314632641389587,0.00035662256083970976,0.00521554986287793,0.0005530346450449027,0.0005409254696430012,0.0036197410282841837,9.252921030673102e-05,0.0008374218822566313,2.519631886919058e-05,0.004574833874974891
AZE,0.08640033061111349,0.05190072325723842,0.006504536956785715,0.003206518040999191,0.0009733090758914883,,,0.004179869089769022,0.14898525005051497,0.1194816744057849,0.00880570001193043,0.01530016347791387,0.005219117557537069,0.00017882754682347146,0.08185005086996913,0.004550279741144346,0.0,,,0.03714347896068884,5.457103777740818e-07,0.010076219039367378,0.004680395664007066,,0.0004881026022485712,7.500763224252379e-05,0.005223944438546492,0.0005386589342124893,0.00017882754682347146,0.003206518040999191,0.0009733090758914883,,,0.004179869089769022
BDI,0.0013412853003229289,0.008992689184947663,0.003395186129150135,,,,,,0.0137293285059341,0.005666968169454883,0.0004099700892134249,0.004393930769317368,0.0030126033430553957,0.00024589810777136934,0.000931378170427018,0.00040990712989591075,0.0,,,0.004249334203426378,,0.0018254634384464465,0.0029179545023923525,,0.0004861928362839731,7.74714402012469e-08,0.002568320425796721,9.469291218530304e-05,0.00024589810777136934,,,,,
BEL,0.20737686907907768,0.016750746153441482,0.013063428791025372,0.005887535645146365,0.00035185863914780047,0.00019313400240661923,1.3160805868780696e-06,0.006433812656778074,0.24362485668032258,0.17616520715018688,0.042531117624772304,0.021227993086269336,0.003099277336833304,0.0006013034551391375,0.172616400286302,0.0338123014710115,0.0003712291225030087,0.0005769381992611346,,0.00220063801151368,4.848706906161745e-05,0.012270770983521351,0.0022308584839205053,,0.0013481058930536359,0.0022365248224967852,0.008585971993805806,0.0002915855858475212,0.0006013034551391375,0.005887535645146365,0.00035185863914780047,0.00019313400240661923,1.3160805868780696e-06,0.006433812656778074
BEN,0.015216637450011674,0.013834260701791131,0.006400024489712109,,,,,,0.03545113250590662,0.016502896306827174,0.0016070785524287914,0.012872242330173858,0.004221002510544978,0.00024808069744519564,0.013603619735297372,0.0016070155931112772,6.157001524107224e-06,,,0.0026228851676423776,,0.0072720110372840475,0.003939574361256418,,0.00027651732252245134,7.783660424282938e-08,0.005594145225530102,0.00028138617641021766,0.00024808069744519564,,,,,
BES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,0.0066445165060589955,0.044309298615765574,0.022434293609841775,,,,,,0.07338789886727463,0.01588064838539497,0.0004864656599932014,0.05023167174993648,0.0062673901941488214,0.0005217018913619929,0.0061582607104575075,0.000486339741358173,0.0,,,0.00869006473209598,,0.02995394462934842,0.005665079389929456,,0.0010322599835239689,1.264097177050496e-07,0.020277727120588052,0.0006024367228543935,0.0005217018913619929,,,,,
BGD,0.18550920932686388,0.12089469135519568,0.02478351561068902,,,,,,0.3311874162927486,0.18122650668515494,0.0037920396938814307,0.09481421380371376,0.04960669559141199,0.0017480024914647858,0.17747182285299862,0.003760769899516035,0.0042768264387409195,,,0.003330757760893917,,0.07172787152881638,0.045836271929877104,,0.0004240729763366101,3.138102249300406e-05,0.018809515836156455,0.0037704236615348817,0.0017480024914647858,,,,,
BGR,0.09947907950273399,0.01424475545198384,0.011861535419678923,0.003815124776969978,4.122366246439368e-08,3.6755649564801235e-05,,0.003851851045519939,0.12943722141991668,0.09362281365195302,0.013463640186024093,0.013767943554009485,0.00794084885367677,0.0006420171471316659,0.08999383859043342,0.009384296139886106,7.014297564259177e-05,3.0883643884641726e-05,,0.002980913819906572,6.02415736415222e-06,0.0036812312950564047,0.007576524269661155,,0.0006479772958563454,0.00022142791969750943,0.010016617552120582,0.00033345353199447706,0.0006420171471316659,0.003815124776969978,4.122366246439368e-08,3.6755649564801235e-05,,0.003851851045519939
BHR,0.05578489341908233,0.013697009389610132,0.00036709479398624155,,0.0007915035533495942,,,0.0007915035533495942,0.07064056411534582,0.06068438750803888,0.008126788704735433,7.343574794858545e-05,0.0016432172006819532,0.00011256076649583849,0.04864131938952729,0.0071435740295550405,0.0,,,0.01198010880099737,4.062974623584288e-05,4.1164900434713744e-05,0.0016352213673576474,,6.309572936883348e-05,0.00015115692677597207,3.22708475138717e-05,8.00485749314956e-06,0.00011256076649583849,,0.0007915035533495942,,,0.0007915035533495942
BHS,0.006293203514329652,0.00048491266349451735,0.000244638921421085,,,,,,0.007022692139927739,0.005437796253703124,0.0009985767486538615,6.643047455316997e-05,0.00037582515268154665,0.00014412437100963377,0.005294668738554132,0.0009985767486538615,0.0,,,9.865934918869886e-05,,2.018370787310015e-05,0.00036606645846684263,,4.451433612647022e-05,2.772938207717934e-09,4.624571735811124e-05,9.752398282952577e-06,0.00014412437100963377,,,,,
BIH,0.04658548780829632,0.006405900692680104,0.003704526242536666,0.002668215876252616,0.00024361058590168603,,,0.002911868435032644,0.05960799304293744,0.04405767121010041,0.007356166658361388,0.005155738511239422,0.002803788273299901,0.00023458641705798123,0.042136572568349864,0.004416176394839058,2.3645421014423646e-05,8.973801389693394e-06,,0.0015067004138719542,1.3106031262543326e-06,0.0022503758723499134,0.0026474393014729236,,0.00041441921431776315,2.6656975035520466e-05,0.002881647962625819,0.00014728492874884757,0.00023458641705798123,0.002668215876252616,0.00024361058590168603,,,0.002911868435032644
BLR,0.14181586270077906,0.03550464792579371,0.030782908976618974,0.0025744064931564285,7.503701325736375e-05,6.103066375436707e-06,,0.002655624012749772,0.21075904361594153,0.13085758362303748,0.015916535196378076,0.050519605695368175,0.012866156262814149,0.0005992467841003397,0.12798642887999737,0.011631524046360309,0.002197909774421397,,,0.002361394135566653,0.00013728698912758954,0.020609942452671417,0.012396060025374644,,0.0005097606074734625,0.0014921358250869982,0.027711753468275355,0.00046999130524364737,0.0005992467841003397,0.0025744064931564285,7.503701325736375e-05,6.103066375436707e-06,,0.002655624012749772
BLZ,0.0013617260920758786,0.0005647870509808903,0.0004951960186885065,,,,,,0.0024216252159885896,0.0014199424743373602,1.110392496559115e-05,0.0008105382536780598,0.00015116112406380635,2.8946595549120914e-05,0.0013504563742408335,1.1101406592890584e-05,1.6476243529079485e-07,,,4.072418521211422e-05,,0.0003832333657090531,0.0001408211054840544,,2.8764013528329676e-05,2.572097984847574e-09,0.00042713699645563534,1.0339808715360241e-05,2.8946595549120914e-05,,,,,
