,bl,tars_calc,calc,tars_orig,orig,calc_vs_orig
DOM,42.8031,24.97401630733551,-41.653720624591415,24.97411630733551,-41.65348699665326,-0.00023362793815806526
MDG,39.6781,34.123166,-14.000000000000014,34.144908,-13.945204029426819,-0.05479597057319552
NER,35.6811,23.3354394,-34.60000000000001,23.630819054485613,-33.77216774570961,-0.8278322542903993
BIH,33.7297,27.520185,-18.40963601810867,29.093890919122497,-13.74399736990695,-4.665638648201721
ZWE,29.3464,19.662088,-33.0,24.96219579749673,-14.939495824030445,-18.060504175969555
HND,25.8674,21.98729,-14.999999999999986,21.987305,-14.999942011953266,-5.798804671997004e-05
HTI,24.8346,17.135873999999998,-31.0,17.218517166409175,-30.667225699591796,-0.33277430040820377
COG,17.9184,8.780016,-50.99999999999999,8.835815825815407,-50.68858923890856,-0.3114107610914303
BWA,16.7219,23.157485,38.48596750369276,14.51614954383651,-13.19078846401122,51.67675596770398
GNQ,16.6236,9.24584,-44.38124112707236,10.898695611868146,-34.43841519365152,-9.942825933420835
MKD,16.0989,10.303296,-36.00000000000001,11.815291458831794,-26.60808217436103,-9.391917825638977
TGO,15.2533,10.50342238,-31.14,10.910964826576423,-28.46816868103018,-2.671831318969822
TJK,14.8592,18.66839,25.63522935285883,17.139587637014742,15.346638022334602,10.288591330524227
SLV,14.1796,5.530044,-61.0,8.98855267471866,-36.60926489662148,-24.390735103378518
MRT,13.3357,10.3618389,-22.299999999999997,10.37543298,-22.19806249390733,-0.10193750609266772
ALB,11.4927,10.171039500000001,-11.499999999999986,10.662455069394788,-7.224106873103892,-4.275893126896094
GAB,11.3669,5.68345,-50.0,5.7157367414287235,-49.7159582522172,-0.2840417477828012
MUS,11.0158,7.711060000000001,-30.0,9.0577,-17.775377185497206,-12.224622814502794
BDI,9.3641,7.4912800000000015,-19.999999999999986,7.928595743247367,-15.32986893297415,-4.670131067025835
JAM,9.2243,8.30187,-10.000000000000014,8.506718423182098,-7.779252374899997,-2.2207476251000173
LBR,7.6986,6.54381,-15.0,6.75217156388914,-12.293513575336547,-2.706486424663453
ERI,6.021,3.702915,-38.5,5.6554802287711405,-6.070748567162582,-32.42925143283742
LSO,5.7766,3.75479,-35.000000000000014,3.754797,-34.99987882145207,-0.00012117854794269078
BHS,3.6786,2.57502,-30.0,2.575032,-29.999673788941436,-0.00032621105856378563
FJI,2.5626,1.79382,-30.0,2.199868798096725,-14.154811593821705,-15.845188406178295
MDV,1.6001,1.2160760000000002,-24.0,1.2241960050396083,-23.492531401811874,-0.507468598188126
VUT,0.7729625,0.5410737499999999,-30.000000000000014,0.7114770448187527,-7.9545198093371,-22.045480190662914
LCA,0.7488133333333332,0.5765862666666666,-23.0,0.5874781466666665,-21.545447908691102,-1.4545520913088978
SLB,0.56495,0.3107225,-44.99999999999999,0.4244416869452606,-24.870928941453116,-20.129071058546877
WSM,0.452805,0.39394035,-13.0,0.4225707025192813,-6.6771121080197275,-6.3228878919802725
VCT,0.333575,0.26018850000000004,-21.999999999999986,0.2601885256666667,-21.999992305578445,-7.694421540804797e-06
GRD,0.33014,0.19983,-39.471133458532734,0.2174395392916984,-34.13717232334815,-5.33396113518458
PLW,0.28117000000000003,0.2050386,-27.076644023188834,0.20575825103115236,-26.820695297808328,-0.25594872538050595
