iso3,type_calc,type_orig,bl,bl_global_share,diff,tar_calc,tar_calc_ndc,tar_orig,tar_orig_ndc,refyr_emi_ssp,refyr_emi_ndc,diff_emi_refyr
NZL,21,21,54,0.1,0.0,RBY,RBY,RBY,RBY,54.9
JOR,44,45,53,0.1,1.5579958000000076,ABS,ABS,RBU,RBU,,
BFA,97,42,51,0.1,-54.86472513999998,ABS,ABS,RBU,RBU,,
SOM,51,51,51,0.1,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
DNK,46,46,51,0.1,0.0,RBY,RBY,RBY,RBY,75.9
BHR,48,48,48,0.1,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
AFG,55,38,44,0.1,-17.067026799999987,ABS,ABS,RBU,RBU,,
LAO,27,43,43,0.1,16.538000000000007,ABU,ABU,baseline_emissions,NGT,,
SVK,31,31,41,0.1,0.0,RBY,RBY,RBY,RBY,63.9
DOM,32,21,40,0.1,-10.60424443127448,AEI,AEI,REI,REI,24.4
MNG,19,19,39,0.1,0.0,ABS,ABS,ABS,NGT,,
SEN,30,30,38,0.1,0.0,RBU,RBU,RBU,RBU,,
URY,35,43,37,0.1,7.903060327144651,ABS,ABS,REI,REI,29.1
NOR,-2,-2,36,0.1,0.09251999999999683,ABS,ABS,RBY,RBY,42.2
CUB,36,36,36,0.1,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
GTM,42,20,35,0.1,-21.502213799999993,ABS,ABS,RBU,RBU,,
PAN,35,35,35,0.1,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
TCD,8,-44,34,0.1,-51.992605,ABS,ABS,RBU,RBU,,
FIN,23,23,34,0.1,0.0,RBY,RBY,RBY,RBY,57.4
TGO,28,22,33,0.1,-5.127223263333331,ABS,ABS,RBU,RBU,,
BEN,43,43,31,0.1,0.0,ABS,ABS,ABS,NGT,,
NIC,30,30,30,0.1,0.0,baseline_emissions,NGT,baseline_emissions,NGT,,
LBN,30,19,29,0.1,-11.854930749999998,ABS,ABS,RBU,RBU,,
BIH,21,21,27,0.1,0.0,RBU,RBU,RBU,RBU,28.3,
SWE,-4,-4,27,0.1,0.0,RBY,RBY,RBY,RBY,39.7
HND,26,23,27,0.1,-2.596710000000005,ABS,ABS,RBU,RBU,,
HTI,14,17,25,0.0,2.933548231428567,ABS,ABS,RBU,RBU,,
KGZ,15,15,23,0.0,0.0,RBU,RBU,RBU,RBU,,
GNQ,14,14,22,0.0,0.0,RBY,RBY,RBY,RBY,17.0
MWI,20,20,22,0.0,0.0,ABS,ABS,ABS,NGT,,
CRI,9,9,21,0.0,0.0,ABS,ABS,ABS,ABS,11.7,
