add_info,iso3,tar_type_used,tar_type_calc,tar_type_orig,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_LU_refyr,emi_bl_LU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq,,
,TUN,RBU,ABS,REI,conditional,best,,-37.8%,,GDP,2030,2030,36.5003,42.42040000000001,AR4,SSP3BLAIMCGE,62.2799,62.2799,-0.3192215714285715,-0.3192215714285715,Yes (not lulucf),1.0,1.0,12708751.973,12708751.973,230961891188.6872,230961891188.6872,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,5.920100000000005,5.920100000000005
,TUR,ABS,ABS,RBU,conditional,best,,929 MtCO2eq_AR4,,,2030,2030,533.6582,929.0,AR4,SSP3BLAIMCGE,779.6582,779.6582,-63.43361442857143,-63.43361442857143,,1.0,1.0,93770353.6216,93770353.6216,3152291059531.96,3152291059531.96,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,395.34180000000003,395.34180000000003
,TUR,ABU,ABS,RBU,conditional,best,,-246 MtCO2eq_AR4,,,2030,2030,533.6582,929.0,AR4,SSP3BLAIMCGE,779.6582,779.6582,-63.43361442857143,-63.43361442857143,,1.0,1.0,93770353.6216,93770353.6216,3152291059531.96,3152291059531.96,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,395.34180000000003,395.34180000000003
,TUR,RBU,ABS,RBU,conditional,best,,-21%,,,2030,2030,532.9082,928.25,AR4,SSP3BLAIMCGE,779.6582,779.6582,-63.43361442857143,-63.43361442857143,Yes (not lulucf),1.0,1.0,93770353.6216,93770353.6216,3152291059531.96,3152291059531.96,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,395.34180000000003,395.34180000000003
,TUV,RBY,RBY,RBY,unconditional,best,-41%,,,,2010,2025,0.01069788,0.01069788,AR4,SSP3BLAIMCGE,0.018132,0.023135666666666662,0.0,0.0,Yes (not lulucf),1.0,1.0,10530.0,11043.666666666664,31450260.6048,36283264.23288333,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,0.0,0.0
,TUV,RBY,RBY,RBY,conditional,best,-60%,,,,2010,2025,0.0072528,0.0072528,AR4,SSP3BLAIMCGE,0.018132,0.023135666666666662,0.0,0.0,Yes (not lulucf),1.0,1.0,10530.0,11043.666666666664,31450260.6048,36283264.23288333,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,0.0,0.0
,TZA,ABS,ABS,RBU,conditional,worst,130.950 MtCO2eq,,,,2030,2030,130.95,353.28137142857145,AR4,SSP3BLAIMCGE,155.4208,155.4208,222.33137142857143,222.33137142857143,,1.0,1.0,77386031.893,77386031.893,290000130422.6009,290000130422.6009,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,222.33137142857143,222.33137142857143
,TZA,ABS,ABS,RBU,conditional,best,116.400 MtCO2eq,,,,2030,2030,116.4,338.73137142857144,AR4,SSP3BLAIMCGE,155.4208,155.4208,222.33137142857143,222.33137142857143,,1.0,1.0,77386031.893,77386031.893,290000130422.6009,290000130422.6009,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,222.33137142857143,222.33137142857143
,TZA,ABU,ABS,RBU,conditional,worst,-14.550 MtCO2eq,,,,2030,2030,130.95,353.28137142857145,AR4,SSP3BLAIMCGE,155.4208,155.4208,222.33137142857143,222.33137142857143,,1.0,1.0,77386031.893,77386031.893,290000130422.6009,290000130422.6009,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,222.33137142857143,222.33137142857143
,TZA,ABU,ABS,RBU,conditional,best,-29.100 MtCO2eq,,,,2030,2030,116.4,338.73137142857144,AR4,SSP3BLAIMCGE,155.4208,155.4208,222.33137142857143,222.33137142857143,,1.0,1.0,77386031.893,77386031.893,290000130422.6009,290000130422.6009,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,222.33137142857143,222.33137142857143
