add_info,iso3,tar_type_used,condi,rge,entity,category,unit,gwp,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,AFG,,pop,pop,POP,DEMOGR,Pers,,12412308.0,13299017.0,14485546.0,15816603.0,17075727.0,18110657.0,18853437.0,19357126.0,19737765.0,20170844.0,20779953.0,21606988.0,22600770.0,23680871.0,24726684.0,25654277.0,26433049.0,27100536.0,27722276.0,28394813.0,29185507.0,30117413.0,31161376.0,32269589.0,33370794.0,34413603.0,35383032.0,36296113.0,37267863.8744,38387741.4701,39539696.0373,40731621.9382,41970025.3894,43250027.2641,44566928.5663,45916217.8591,47300535.3114,48718264.1476,50158656.4034,51610981.294,53064536.7573,54527850.4309,56014539.15,57521311.9644,59044532.1484,60580206.7292,62131228.2049,63703248.1887,65296021.2437,66909136.9175,68542015.2362,70198026.6893,71879502.5199,73584106.6928,75309410.5766,77052890.396,78818617.3103,80607064.0962,82410316.2123,84220569.5811,86030134.0962
,AFG,,gdp,gdp,GDPPPP,ECO,2011GKD,,24725317536.0,23419568937.0,23596954434.0,17081931240.0,13182461244.0,19939833357.0,19004264496.0,17924698676.0,16895526840.0,15874454228.0,15273265455.0,14952035696.0,24589637760.0,26333128552.0,27372439188.0,30451626799.0,33226342593.0,39214475592.0,40585412064.0,47390942897.0,49177579295.0,53970404096.0,60608876320.0,65345917725.0,67475745468.0,66349426584.0,68253868728.0,70073033662.5461,76971848770.3513,80106214767.25,83529865408.9067,87356370755.6854,91578208856.2574,96191070094.6034,101192883105.2743,106585087100.6285,112295347556.2282,118235871190.5749,124387676650.0075,130730815568.6724,137244257049.953,143991770506.1088,151057015871.894,158446194754.40802,166162757670.7814,174206861129.3984,182619148555.1245,191445964968.0006,200695142604.7719,210377405987.2733,220506816153.2007,231117918495.2466,242241828228.3798,253894685849.6266,266099222341.1837,278885595112.1116,292275999421.3641,306269097456.1376,320870627231.2432,336093274088.0286,351957428130.3894
"The target value from 'conditional_best' was used for 'conditional_worst' in 2025, 2030.
",AFG,ABS,conditional,worst,KYOTOGHG,IPCM0EL,MtCO2eq,AR4,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,37.524,37.7407,38.1719,38.91774010649833,39.802695139711744,40.83504887184902,42.0227649139559,43.3744957885103,43.80660879014467,44.283056273242636,44.80150513498693,45.36018324352149,45.95759231189553,47.68912826706423,49.526496486047336,51.468695975807954,53.513997748373185,55.66012681956817,57.91818511216621,60.30091253754652,62.8086730931771,65.44255877146186,68.20529955341063,71.10535838015387,74.15047019788614,77.3438199844522,80.69032170566979,84.19725531089843,87.86480279887212,91.68623021643326,95.6610825667469,99.79045184221695,104.07779601878923
,AFG,ABS,conditional,best,KYOTOGHG,IPCM0EL,MtCO2eq,AR4,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,37.524,37.7407,38.1719,38.91774010649833,39.802695139711744,40.83504887184902,42.0227649139559,43.3744957885103,43.80660879014467,44.283056273242636,44.80150513498693,45.36018324352149,45.95759231189553,47.68912826706423,49.526496486047336,51.468695975807954,53.513997748373185,55.66012681956817,57.91818511216621,60.30091253754652,62.8086730931771,65.44255877146186,68.20529955341063,71.10535838015387,74.15047019788614,77.3438199844522,80.69032170566979,84.19725531089843,87.86480279887212,91.68623021643326,95.6610825667469,99.79045184221695,104.07779601878923
,AFG,ABS,unconditional,worst,KYOTOGHG,IPCM0EL,MtCO2eq,AR4,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,37.524,37.7407,38.1719,38.8004,39.5634,40.4679,41.5205,42.7284,44.0668,45.5086,47.0582,48.721,50.5032,52.40600000000001,54.4251,56.5594,58.807,61.1654,63.6468,66.2652,69.021,71.9154,74.9514,78.1383,81.4846,84.9938,88.6713,92.5251,96.5554,100.7548,105.1228,109.6606,114.372
,AFG,ABS,unconditional,best,KYOTOGHG,IPCM0EL,MtCO2eq,AR4,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,37.524,37.7407,38.1719,38.8004,39.5634,40.4679,41.5205,42.7284,44.0668,45.5086,47.0582,48.721,50.5032,52.40600000000001,54.4251,56.5594,58.807,61.1654,63.6468,66.2652,69.021,71.9154,74.9514,78.1383,81.4846,84.9938,88.6713,92.5251,96.5554,100.7548,105.1228,109.6606,114.372
"The target value from 'conditional_best' was used for 'conditional_worst' in 2025, 2030.
",AFG,ABU,conditional,worst,KYOTOGHG,IPCM0EL,MtCO2eq,AR4,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,37.524,37.7407,38.1719,38.91774010649833,39.80269513971175,40.83504887184902,42.02276491395592,43.37449578851031,43.806608790144686,44.28305627324264,44.80150513498693,45.36018324352149,45.95759231189554,47.689128267064234,49.52649648604734,51.46869597580796,53.51399774837319,55.66012681956818,57.91818511216622,60.30091253754653,62.808673093177106,65.44255877146186,68.20529955341063,71.10535838015387,74.15047019788614,77.34381998445221,80.6903217056698,84.19725531089843,87.86480279887213,91.68623021643327,95.66108256674691,99.79045184221697,104.07779601878924
,AFG,ABU,conditional,best,KYOTOGHG,IPCM0EL,MtCO2eq,AR4,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,37.524,37.7407,38.1719,38.91774010649833,39.80269513971175,40.83504887184902,42.02276491395592,43.37449578851031,43.806608790144686,44.28305627324264,44.80150513498693,45.36018324352149,45.95759231189554,47.689128267064234,49.52649648604734,51.46869597580796,53.51399774837319,55.66012681956818,57.91818511216622,60.30091253754653,62.808673093177106,65.44255877146186,68.20529955341063,71.10535838015387,74.15047019788614,77.34381998445221,80.6903217056698,84.19725531089843,87.86480279887213,91.68623021643327,95.66108256674691,99.79045184221697,104.07779601878924
,AFG,ABU,unconditional,worst,KYOTOGHG,IPCM0EL,MtCO2eq,AR4,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,37.524,37.7407,38.1719,38.8004,39.5634,40.4679,41.5205,42.7284,44.0668,45.5086,47.0582,48.721,50.5032,52.40600000000001,54.4251,56.5594,58.807,61.1654,63.6468,66.2652,69.021,71.9154,74.9514,78.1383,81.4846,84.9938,88.6713,92.5251,96.5554,100.7548,105.1228,109.6606,114.372
,AFG,ABU,unconditional,best,KYOTOGHG,IPCM0EL,MtCO2eq,AR4,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,37.524,37.7407,38.1719,38.8004,39.5634,40.4679,41.5205,42.7284,44.0668,45.5086,47.0582,48.721,50.5032,52.40600000000001,54.4251,56.5594,58.807,61.1654,63.6468,66.2652,69.021,71.9154,74.9514,78.1383,81.4846,84.9938,88.6713,92.5251,96.5554,100.7548,105.1228,109.6606,114.372
