iso3, Y1990, Y1991, Y1992, Y1993, Y1994, Y1995, Y1996, Y1997, Y1998, Y1999, Y2000, Y2001, Y2002, Y2003, Y2004, Y2005, Y2006, Y2007, Y2008, Y2009, Y2010, Y2011, Y2012, Y2013, Y2014, Y2015, Y2016, Y2017, Y2018, Y2019, Y2020, Y2021, Y2022, Y2023, Y2024, Y2025, Y2026, Y2027, Y2028, Y2029, Y2030
CIV, 14.5021, 14.3105, 14.1142, 15.5079, 15.1955, 17.9151, 19.355999999999998, 19.5386, 18.8945, 18.3715, 19.2117, 20.9959, 22.2363, 18.9923, 20.5014, 22.7689, 21.7212, 21.4951, 21.38, 19.9143, 21.5236, 23.218000000000004, 25.5048, 27.5031, 27.1459, 27.7921, 29.7595, 30.5388, 31.01400812783769, 31.48921625567539, 31.964424383513087, 32.43963251135078, 32.91484063918848, 33.39004876702617, 33.865256894863876, 34.340465022701565, 34.81567315053925, 35.29088127837695, 35.76608940621465, 36.24129753405234, 36.71650566189004
CMR, 27.5353, 26.8963, 29.6808, 31.2045, 56.5906, 54.9384, 50.8165, 47.5066, 46.6946, 44.9681, 44.2039, 43.0301, 40.9539, 42.3474, 41.7367, 43.7252, 42.9253, 44.5545, 44.1678, 45.0583, 43.0861, 40.685, 40.9122, 42.0359, 41.5374, 42.2268, 42.7917, 43.516999999999996, 46.87716666666667, 50.23733333333334, 53.5975, 56.95766666666667, 60.31783333333333, 63.678000000000004, 67.03816666666667, 70.39833333333334, 73.7585, 77.11866666666666, 80.47883333333334, 83.839, 87.19916666666666
COD, 38.8914, 37.9633, 38.3203, 38.3769, 42.9958, 43.0952, 38.8756, 38.239000000000004, 38.3488, 35.6427, 35.9378, 41.3238, 43.9852, 46.9504, 48.5358, 49.0923, 51.0406, 48.1545, 50.6108, 50.3465, 52.1229, 51.597, 51.6952, 54.8073, 55.8578, 56.3177, 56.1633, 55.3876, 53.43470769230769, 51.48181538461538, 49.52892307692307, 53.919501538461546, 57.789308717948714, 61.13834461538462, 63.96660923076924, 66.27410256410256, 68.06082461538462, 69.32677538461539, 70.07195487179489, 70.29636307692307, 70.0
COG, 11.5025, 11.3452, 11.6655, 11.7834, 12.1251, 12.6441, 13.6163, 14.2326, 13.6238, 12.8935, 12.2959, 11.5766, 9.0103, 11.0095, 10.9892, 12.8324, 14.0185, 12.4492, 12.1865, 13.672, 14.7795, 13.5632, 13.9157, 14.2637, 13.7889, 13.8011, 13.8128, 13.1374, 13.860385976417131, 14.583371952834261, 15.306357929251387, 16.02934390566852, 16.752329882085647, 17.475315858502775, 18.198301834919906, 18.921287811337034, 22.830097892287174, 26.73890797323731, 30.647718054187447, 34.556528135137576, 38.465338216087716
COK, 0.047810000000000005, 0.047917, 0.048621, 0.055635000000000004, 0.057325, 0.058575999999999996, 0.069299, 0.070326, 0.07147300000000001, 0.067785, 0.066726, 0.049716, 0.045336, 0.048847, 0.071573, 0.079056, 0.08287699999999999, 0.08282300000000001, 0.086651, 0.08665199999999999, 0.086564, 0.08656799999999999, 0.086621, 0.086487, 0.086478, 0.089783, 0.10074, 0.10300000000000001, 0.09218483333333333, 0.09218483333333333, 0.09218483333333333, 0.09218483333333333, 0.09218483333333333, 0.09218483333333333, 0.09218483333333333, 0.09218483333333333, 0.09218483333333333, 0.09218483333333333, 0.09218483333333333, 0.09218483333333333, 0.09218483333333333
COL, 100.0052, 103.3243, 108.3673, 109.9991, 111.4432, 113.0649, 116.3869, 120.8503, 120.6721, 115.4761, 117.7676, 116.6155, 117.1489, 121.38, 125.0654, 130.0685, 138.6201, 140.1527, 138.3157, 145.7016, 146.9671, 142.9275, 148.7596, 156.8218, 159.8163, 160.7913, 168.3775, 166.6983, 169.57663333333332, 172.45496666666668, 175.3333, 171.95636559743576, 168.38487806100275, 164.618837390701, 160.65824358653043, 156.50309664849112, 152.153396576583, 147.6091433708061, 142.8703370311605, 137.936977557646, 132.80906495026284
COM, 0.33742, 0.34547, 0.35143, 0.36191, 0.36657, 0.37563, 0.38502, 0.39471, 0.41098, 0.42426, 0.41458999999999996, 0.44188, 0.44536000000000003, 0.4613100000000001, 0.49832, 0.50421, 0.54637, 0.4851, 0.5191899999999999, 0.5511699999999999, 0.59828, 0.5936, 0.61117, 0.6604300000000001, 0.65385, 0.67686, 0.69592, 0.71327, 0.5919800000000001, 0.47069, 0.3494, 0.36094, 0.37248000000000003, 0.38402, 0.39555999999999997, 0.4071, 0.41953999999999997, 0.43198, 0.44442, 0.45686000000000004, 0.4693
CPV, 0.25614000000000003, 0.26959, 0.30546, 0.31254, 0.30191, 0.3359, 0.32724000000000003, 0.34741, 0.37555, 0.41045, 0.44378999999999996, 0.46761, 0.51159, 0.5472899999999999, 0.58865, 0.7025100000000001, 0.73311, 0.76846, 0.73679, 0.80612, 0.8486899999999999, 0.8702, 0.76449, 0.7670100000000001, 0.7590399999999999, 0.97624, 1.0323, 1.0568, 0.9428700000000001, 0.9593200000000001, 0.97662, 0.99469, 1.0128, 1.0308, 1.0487, 1.0664, 1.0836, 1.1005, 1.1174, 1.1349, 1.1532
CRI, 7.0104, 7.9567, 9.0531, 9.8257, 11.3917, 11.0312, 11.7654, 12.1688, 12.5847, 12.3575, 11.9806, 11.9176, 12.3498, 12.959000000000001, 13.0366, 13.0574, 13.3822, 14.5673, 14.9912, 14.4481, 14.7093, 15.4081, 15.1463, 15.224, 15.1601, 16.7405, 17.5688, 17.439, 17.734807692307697, 18.030615384615384, 18.326423076923078, 18.622230769230768, 18.918038461538465, 19.21384615384616, 19.50965384615385, 19.80546153846154, 20.101269230769233, 20.397076923076924, 20.692884615384614, 20.988692307692308, 21.2845
CUB, 51.1446, 46.5134, 47.6473, 44.1387, 46.744, 40.0409, 41.4068, 41.2322, 39.9088, 40.2719, 40.7967, 39.6703, 39.4702, 38.8262, 38.2546, 38.6482, 40.5621, 40.1928, 43.7889, 43.3407, 50.4576, 48.3258, 48.4902, 47.9449, 48.183, 48.5926, 49.5023, 49.1483, 48.6923, 48.9983, 49.2681, 49.5393, 49.8084, 50.067, 50.3077, 50.5236, 50.7166, 50.8994, 51.0815, 51.2716, 51.4774
