add_info,iso3,tar_type_used,tar_type_calc,tar_type_orig,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_LU_refyr,emi_bl_LU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq,,
,AND,ABS,ABS,ABU,unconditional,best,0.336820 MtCO2eq_SAR,,,,2030,2030,0.3387152731380653,0.3177627017094939,AR4,SSP5BLREMMP,0.5335353843696946,0.5335353843696946,-0.020952571428571428,-0.020952571428571428,,0.96133757,0.96133757,79120.5,79120.5,,,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,,-0.020952571428571428,-0.020952571428571428
,AND,RBU,ABS,ABU,unconditional,best,-37%,,,,2030,2030,0.3437595686996727,0.3228069972711013,AR4,SSP5BLREMMP,0.5335353843696946,0.5335353843696946,-0.020952571428571428,-0.020952571428571428,,0.96133757,0.96133757,79120.5,79120.5,,,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,,-0.020952571428571428,-0.020952571428571428
,ARG,ABU,ABS,ABS,unconditional,best,,-109 MtCO2eq_SAR,,,2030,2030,373.283315420156,502.7103197437126,AR4,SSP5BLREMMP,486.7314,486.7314,104.45050571428571,104.45050571428571,,1.0,1.0,45918350.6992,45918350.6992,1260814655697.3171,1260814655697.3171,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.42700432355662,129.42700432355662
,ARG,ABU,ABS,ABS,conditional,best,,-223 MtCO2eq_SAR,,,2030,2030,254.63119026325484,384.05819458681145,AR4,SSP5BLREMMP,486.7314,486.7314,104.45050571428571,104.45050571428571,,1.0,1.0,45918350.6992,45918350.6992,1260814655697.3171,1260814655697.3171,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.42700432355662,129.42700432355662
,ARG,ABS,ABS,ABS,unconditional,best,,483 MtCO2eq_SAR,,,2030,2030,373.283315420156,502.7103197437126,AR4,SSP5BLREMMP,486.7314,486.7314,104.45050571428571,104.45050571428571,,1.0,1.0,45918350.6992,45918350.6992,1260814655697.3171,1260814655697.3171,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.42700432355662,129.42700432355662
,ARG,ABS,ABS,ABS,conditional,best,,369 MtCO2eq_SAR,,,2030,2030,254.6311902632549,384.0581945868115,AR4,SSP5BLREMMP,486.7314,486.7314,104.45050571428571,104.45050571428571,,1.0,1.0,45918350.6992,45918350.6992,1260814655697.3171,1260814655697.3171,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.42700432355662,129.42700432355662
,ARG,RBU,ABS,ABS,unconditional,best,,-18%,,,2030,2030,375.82288722175986,505.2498915453165,AR4,SSP5BLREMMP,486.7314,486.7314,104.45050571428571,104.45050571428571,,1.0,1.0,45918350.6992,45918350.6992,1260814655697.3171,1260814655697.3171,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.42700432355662,129.42700432355662
,ARG,RBU,ABS,ABS,conditional,best,,-37%,,,2030,2030,258.7527904002841,388.1797947238407,AR4,SSP5BLREMMP,486.7314,486.7314,104.45050571428571,104.45050571428571,,1.0,1.0,45918350.6992,45918350.6992,1260814655697.3171,1260814655697.3171,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,129.42700432355662,129.42700432355662
,ARM,AEI,AEI,AEI,conditional,best,,5.4 tCO2eq_SAR/capita,,POP,2025,2025,15.816601203733352,15.710123589447639,AR4,SSP5BLREMMP,14.0195,14.0195,-0.10647761428571427,-0.10647761428571427,,0.805708337,0.805708337,2760103.5309,2760103.5309,38697454301.1088,38697454301.1088,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,,-0.10647761428571427,-0.10647761428571427
,ARM,AEI,AEI,AEI,conditional,best,,5.4 tCO2eq_SAR/capita,,POP,2030,2030,15.178242865057184,15.07176525077147,AR4,SSP5BLREMMP,16.1934,16.1934,-0.10647761428571427,-0.10647761428571427,,0.8019128729999999,0.8019128729999999,2647950.6828,2647950.6828,48398185900.3398,48398185900.3398,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,,-0.10647761428571427,-0.10647761428571427
,ARM,AEI,AEI,AEI,conditional,best,,2.07 tCO2eq_SAR/capita,,POP,2050,2050,4.761368145261684,4.654890530975969,AR4,SSP5BLREMMP,26.2055,26.2055,-0.10647761428571427,-0.10647761428571427,,0.792561172,0.792561172,2133431.2762,2133431.2762,97461050256.4701,97461050256.4701,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,,-0.10647761428571427,-0.10647761428571427
,AUS,RBY,RBY,RBY,unconditional,worst,,-26%,,,2005,2030,477.93949722857144,421.5011658,AR4,SSP5BLREMMP,524.7326,701.3615,44.86357,-56.43833142857143,,1.0,1.0,20178540.0,31448982.3489,815898625000.0,1837441206459.416,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,44.86357,-56.43833142857143
