ISO3,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,IPC1,IPC2,IPCMAG,IPC4,IPC5,IPCMLULUCF,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CO2_IPCMLULUCF,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,CH4_IPCMLULUCF,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,N2O_IPCMLULUCF,HFCS_IPC2,PFCS_IPC2,SF6_IPC2,NF3_IPC2
MRT,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
MSR,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
MUS,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
MWI,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
MYS,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
NAM,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
NER,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,YES,NAN,NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,NAN,NAN,NAN,NAN
NGA,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NAN,NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
NIC,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN
NIU,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,NAN,NAN,NAN,NAN
NLD,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
NOR,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
NPL,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
NRU,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NZL,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
OMN,YES,YES,YES,YES,YES,NAN,NAN,YES,YES,NAN,YES,NAN,NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES,NAN/YES,NAN/YES
PAK,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
PAN,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NO,NO,NO,NAN,YES,YES,YES/NO,YES/NO,YES/NO,YES/NAN,YES,YES,YES/NO,YES/NO,YES/NO,YES/NAN,YES,YES,YES/NO,YES/NO,YES/NO,YES/NAN,YES,NAN/NO,NAN/NO,NAN/NO,NAN/NO
PCN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
PER,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,NAN/YES
PHL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,NAN,YES,NAN,YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
PLW,YES,YES,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,YES,NAN,NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,NAN/YES,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN
PNG,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN
POL,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
PRK,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,NAN/YES
PRT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
PRY,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
QAT,NAN,YES,NAN,YES,NAN,NAN,NAN,YES,NAN,NAN,YES,NAN,NAN,NAN/YES,NAN,NAN,NAN/YES,NAN,NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,NAN/YES,NAN,NAN,NAN/YES,NAN,NAN,YES/NAN,NAN,NAN,NAN
ROU,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
RUS,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
RWA,YES,YES,YES,YES,NAN,NAN,NAN,YES,YES,YES,YES,NAN,NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES
SAU,YES,YES,NAN,NAN,NAN,NAN,NAN,YES,NAN,YES,YES,NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN/YES,NAN,NAN,NAN,NAN
SDN,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,YES,NAN,YES,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES,NAN,NAN,NAN,NAN
SEN,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
SGP,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
SGS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SHN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SLB,YES,NO,NO,NO,NO,NO,NO,YES,NAN,NAN,NAN,NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,NO/YES,NO/NAN,NO/NAN,NO/NAN,NO/NAN,NO/YES,NO/YES,NO/NAN,NO/NAN,NO/NAN,NO/NAN,NO/YES,NO/NAN,NO/NAN,NO/NAN,NO/NAN
SLE,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
SLV,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,YES,YES,NAN,YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN/YES,NAN,NAN,NAN,NAN
SMR,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
SOM,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,YES,YES,NAN,YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN/YES,NAN,NAN,NAN,NAN
SRB,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,NAN/YES
SSD,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN/YES,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN
STP,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
SUR,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,NAN,NAN,NAN,NAN
SVK,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
SVN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
SWE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
SWZ,YES,YES,YES,YES,YES,YES,NAN,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES,YES,NAN/YES
SXM,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
SYC,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NAN,NO,YES,YES/NO,YES/NO,YES,YES/NAN,YES/NO,YES,YES/NO,YES/NO,YES,YES/NAN,YES/NO,NO/YES,NO,NO,NO/YES,NO/NAN,NO,NO,NO,NO,NO
SYR,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
TCA,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
TCD,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,YES,YES,NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,NAN,NAN,NAN,NAN
TGO,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,YES,NAN,NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,NAN,NAN,NAN,NAN
THA,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,NAN/YES
TJK,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NAN,NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
TKL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
TKM,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES
TLS,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,YES,YES,NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,NAN,NAN,NAN,NAN
TON,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,NAN,NAN,NAN,NAN
TTO,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,NO,NO,NAN,NO,YES,YES,YES/NO,YES/NO,YES/NAN,YES/NO,YES,YES,YES/NO,YES/NO,YES/NAN,YES/NO,YES,YES,YES/NO,YES/NO,YES/NAN,YES/NO,NAN/YES,NAN/YES,NAN/YES,NAN/YES
TUN,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
TUR,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
TUV,YES,YES,NO,NO,NO,NO,NO,YES,NAN,YES,YES,NAN,NAN,YES,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES,YES,YES/NAN,YES/NAN,NO/YES,NO/NAN,NO/YES,NO/YES,NO/NAN,NO/NAN,NO/NAN,NO/NAN,NO/NAN,NO/NAN
TWN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
TZA,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,YES,NAN,YES,NAN/YES,NAN,NAN,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN,NAN/YES,NAN,NAN/YES,NAN/YES,NAN,NAN,NAN/YES,NAN,NAN/YES,NAN,NAN,NAN,NAN
UGA,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,NAN,NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN
UKR,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
UMI,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
URY,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
USA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
UZB,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,NAN,NAN,NAN,NAN
VAT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
VCT,YES,YES,YES,YES,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,NAN/YES,NAN/YES,NAN/YES
VEN,YES,YES,NAN,NAN,NAN,NAN,NAN,YES,YES,NAN,YES,NAN,YES,YES,YES,YES/NAN,YES,YES/NAN,YES,YES,YES,YES/NAN,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
VGB,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
VNM,YES,YES,YES,YES,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,NAN/YES,NAN/YES,NAN/YES
VUT,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
WSM,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN/YES,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
YEM,YES,YES,YES,NO,NO,NO,NO,YES,NAN,YES,YES,NAN,NAN,YES,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES,YES/NAN,YES,YES,YES/NAN,YES/NAN,NO/NAN,NO/NAN,NO/NAN,NO/NAN
ZAF,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,NAN/YES
ZMB,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,NAN/YES
ZWE,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES/NAN,NAN,NAN,NAN,NAN
