ISO3,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,IPC1,IPC2,IPCMAG,IPC4,IPC5,IPCMLULUCF,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CO2_IPCMLULUCF,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,CH4_IPCMLULUCF,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,N2O_IPCMLULUCF,HFCS_IPC2,PFCS_IPC2,SF6_IPC2,NF3_IPC2
GMB,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,YES,YES/NAN,YES/NO,YES,YES,YES,YES
GNB,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,NAN,NAN,NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,YES,YES/NAN,YES/NAN,YES/NAN,YES/NAN,YES,NAN,NAN,NAN,NAN
GNQ,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
GRC,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
GRD,YES,YES,NAN,YES,NAN,NAN,NAN,YES,YES,NAN,YES,NAN,YES,YES,YES,YES/NAN,YES,YES/NAN,YES,YES,YES,YES/NAN,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN,NAN/YES,YES,NAN/YES,NAN/YES,NAN/YES
GTM,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
GUY,YES,NO,NO,NO,NO,NO,NO,YES,NAN,NO,NAN,NAN,YES,YES,YES/NAN,YES/NO,YES/NAN,YES/NAN,YES,NO/YES,NO/NAN,NO,NO/NAN,NO/NAN,NO/YES,NO/YES,NO/NAN,NO,NO/NAN,NO/NAN,NO/YES,NO/NAN,NO/NAN,NO/NAN,NO/NAN
HKG,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
HND,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,YES,YES,YES,YES,YES/NAN,YES/NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES
HRV,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
HTI,YES,YES,YES,NAN,NAN,NAN,NAN,YES,NAN,YES,YES,NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,YES,YES/NAN,YES,NAN,NAN,NAN,NAN
HUN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
IDN,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
IND,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,NAN,YES,NAN,YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
IOT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
IRL,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
IRN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
IRQ,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN,NAN/YES,NAN/YES,NAN/YES,NAN/YES,NAN/YES
ISL,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES,YES/NAN,YES,YES,YES,YES,YES
