add_info,iso3,tar_type_used,tar_type_reclass,tar_type_main,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq
,SEN,ABU,ABS,RBU,unconditional,best,,-1.9 MtCO2eq,,,2030,2030,30.9925,35.6,AR4,SSP2BLMESGB,32.8925,32.8925,4.607500000000002,4.607500000000002,,1.0,1.0,19616269.4022,19616269.4022,97342077832.45,97342077832.45,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,SEN,ABU,ABS,RBU,conditional,best,,-4.5 MtCO2eq,,,2025,2025,24.4301,25.5,AR4,SSP2BLMESGB,28.9301,28.9301,1.0699000000000005,1.0699000000000005,,0.999996543392522,0.999996543392522,17987313.842,17987313.842,73528113628.9994,73528113628.9994,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,SEN,ABU,ABS,RBU,conditional,best,,-7.9 MtCO2eq,,,2030,2030,24.9925,29.6,AR4,SSP2BLMESGB,32.8925,32.8925,4.607500000000002,4.607500000000002,,1.0,1.0,19616269.4022,19616269.4022,97342077832.45,97342077832.45,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,SEN,RBU,ABS,RBU,unconditional,best,,-4%,,,2025,2025,27.730099999999997,28.799999999999997,AR4,SSP2BLMESGB,28.9301,28.9301,1.0699000000000005,1.0699000000000005,Yes (not lulucf),1.0,1.0,17987313.842,17987313.842,73528113628.9994,73528113628.9994,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,SEN,RBU,ABS,RBU,unconditional,best,,-5%,,,2030,2030,31.0175,35.625,AR4,SSP2BLMESGB,32.8925,32.8925,4.607500000000002,4.607500000000002,Yes (not lulucf),1.0,1.0,19616269.4022,19616269.4022,97342077832.45,97342077832.45,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,SEN,RBU,ABS,RBU,conditional,best,,-15%,,,2025,2025,24.4301,25.5,AR4,SSP2BLMESGB,28.9301,28.9301,1.0699000000000005,1.0699000000000005,Yes (not lulucf),1.0,1.0,17987313.842,17987313.842,73528113628.9994,73528113628.9994,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,SEN,RBU,ABS,RBU,conditional,best,,-21%,,,2030,2030,25.0175,29.625,AR4,SSP2BLMESGB,32.8925,32.8925,4.607500000000002,4.607500000000002,Yes (not lulucf),1.0,1.0,19616269.4022,19616269.4022,97342077832.45,97342077832.45,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,SGP,ABS,ABS,ABS,unconditional,best,,65 MtCO2eq_AR5,,GDP,2030,2030,64.95282027142858,65.0,AR4,SSP2BLMESGB,97.1138,97.1138,0.047179728571428575,0.047179728571428575,,1.0,1.0,6310644.2929,6310644.2929,601597708293.3491,601597708293.3491,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,
,SGP,REI,ABS,ABS,unconditional,best,,-36%,,GDP,2030,2030,62.13584729771428,62.18302702628571,AR4,SSP2BLMESGB,97.1138,97.1138,0.047179728571428575,0.047179728571428575,Yes (not lulucf),1.0,1.0,6310644.2929,6310644.2929,601597708293.3491,601597708293.3491,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,
,SLB,ABU,RBU,RBU,unconditional,best,,-0.008300 MtCO2eq,,,2025,2025,0.4881088943035061,2.409904285714285,AR4,SSP2BLMESGB,0.48978999999999995,0.48978999999999995,1.9284142857142856,1.9284142857142856,,0.5381691730288984,0.5381691730288984,727624.2698,727624.2698,2006789790.0877,2006789790.0877,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,
,SLB,ABU,RBU,RBU,unconditional,best,,-0.008300 MtCO2eq,,,2030,2030,0.5630693742820227,2.4850642857142855,AR4,SSP2BLMESGB,0.56495,0.56495,1.9284142857142856,1.9284142857142856,,0.5526873098100693,0.5526873098100693,785633.9976,785633.9976,2619690127.8867,2619690127.8867,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,
,SLB,ABU,RBU,RBU,conditional,best,,-0.018800 MtCO2eq,,,2025,2025,0.48598219432601397,2.399404285714285,AR4,SSP2BLMESGB,0.48978999999999995,0.48978999999999995,1.9284142857142856,1.9284142857142856,,0.5381691730288984,0.5381691730288984,727624.2698,727624.2698,2006789790.0877,2006789790.0877,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,
,SLB,ABU,RBU,RBU,conditional,best,,-0.031125 MtCO2eq,,,2030,2030,0.5578976535575857,2.462239285714286,AR4,SSP2BLMESGB,0.56495,0.56495,1.9284142857142856,1.9284142857142856,,0.5526873098100693,0.5526873098100693,785633.9976,785633.9976,2619690127.8867,2619690127.8867,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,
,SLB,RBU,RBU,RBU,unconditional,best,,-12%,,,2025,2025,0.4310152,2.1280197714285713,AR4,SSP2BLMESGB,0.48978999999999995,0.48978999999999995,1.9284142857142856,1.9284142857142856,Yes (not lulucf),1.0,1.0,727624.2698,727624.2698,2006789790.0877,2006789790.0877,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,
